bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
M001190,Markwayne Mullin,78,66,66,12,0,
M001243,David H McCormick,5,4,4,1,0,
B001236,John Boozman,89,89,89,0,0,
C001047,Shelley M Capito,36,36,36,0,0,
M001244,Ashley Moody,25,16,16,9,0,
T000278,Thomas H Tuberville,23,22,22,1,0,
W000802,Sheldon Whitehouse,17,17,17,0,0,
K000383,"Angus S King, Jr.",23,23,23,0,0,
F000479,John Fetterman,4,1,1,3,0,
H000273,John W Hickenlooper,8,7,7,1,0,
M000934,"Jerry Moran,",2,2,2,0,0,
G000359,Lindsey Graham,4,4,4,0,0,
M000355,"A. Mitchell McConnell, Jr.",2,2,2,0,0,
W000779,Ron L Wyden,4,4,4,0,0,
M001242,Bernie Moreno,1,1,1,0,0,
B001299,James Banks,3,1,1,2,0,
S001203,Tina Smith,3,3,3,0,0,
H000601,"William F Hagerty, IV",2,2,1,1,1,ETRN
P000595,Gary C Peters,2,2,2,0,0,
R000595,Marco Rubio,2,2,2,0,0,
C000174,Thomas R Carper,1,1,1,0,0,
C001098,Rafael E Cruz,1,1,1,0,0,
J000312,"James Conley Justice, II",1,1,1,0,0,
K000393,John N Kennedy,1,1,1,0,0,
S001150,Adam B Schiff,1,1,1,0,0,
