bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
B001236,John Boozman,74,68,68,6,0,
M001190,Markwayne Mullin,50,50,50,0,0,
M001243,David H McCormick,1,1,1,0,0,
B001319,Katie Britt,12,12,12,0,0,
C001047,Shelley M Capito,15,15,15,0,0,
F000479,John Fetterman,6,6,6,0,0,
W000802,Sheldon Whitehouse,9,9,9,0,0,
K000383,"Angus S King, Jr.",11,11,11,0,0,
H000273,John W Hickenlooper,8,8,8,0,0,
S001203,Tina Smith,4,4,4,0,0,
P000595,Gary C Peters,6,6,6,0,0,
T000278,Thomas H Tuberville,5,5,5,0,0,
G000359,Lindsey Graham,3,3,3,0,0,
M001242,Bernie Moreno,1,1,1,0,0,
B001299,James Banks,2,2,2,0,0,
M000355,"A. Mitchell McConnell, Jr.",2,2,2,0,0,
