bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
G000599,Daniel Goldman,707,708,707,0,1,STATE OF
G000583,Josh Gottheimer,185,185,185,0,0,
F000462,Lois Frankel,108,108,108,0,0,
A000372,Richard W. Allen,53,66,49,4,17,"36966R5P7,912796QV4,912796QX0,912796SH3,912796U31,912796U49,912796WX3,912796X87,912796XQ7,912796YH6,912796YJ2,912797LL9,91282CDR9,91282CEG2,91282CFG1,91282CFN6,SCHW$D"
S001211,Greg Stanton,95,95,95,0,0,
H001082,Kevin Hern,62,62,62,0,0,
L000397,Zoe Lofgren,93,94,93,0,1,BELGIUM
F000450,Virginia Foxx,36,25,21,15,4,"AAIC$B,AAM$A,DUK$A,T$A"
M001135,Kathy Manning,32,32,32,0,0,
S000250,Pete Sessions,32,32,32,0,0,
G000591,Michael Patrick Guest,41,46,41,0,5,"506120KP8,605699PU5,784532JF1,914476PV2,DUE 10/01/203"
D000617,Suzan K. DelBene,1,1,1,0,0,
F000472,C. Scott Franklin,31,31,31,0,0,
N000189,Dan Newhouse,39,39,39,0,0,
W000804,Robert J. Wittman,35,35,35,0,0,
B001248,Michael C. Burgess,24,24,24,0,0,
L000560,Rick Larsen,34,34,34,0,0,
J000020,Christopher L. Jacobs,41,41,41,0,0,
J000309,Jonathan Jackson,27,27,27,0,0,
B000574,Earl Blumenauer,13,13,13,0,0,
M001217,Jared Moskowitz,22,22,22,0,0,
K000398,Thomas H. Kean,19,19,19,0,0,
G000590,Mark Dr Green,3,3,3,0,0,
S000168,Maria Elvira Salazar,11,12,11,0,1,ITC
T000488,Shri Thanedar,15,15,15,0,0,
D000399,Lloyd Doggett,6,6,6,0,0,
K000375,William R. Keating,15,15,15,0,0,
S001148,Michael K. Simpson,22,22,22,0,0,
P000197,Nancy Pelosi,11,10,10,1,0,
H001072,James French Hill,9,10,9,0,1,MATURIT
C001078,Gerald E. Connolly,3,3,3,0,0,
M001205,Carol Devine Miller,11,11,11,0,0,
Y000067,Rudy Yakym,0,8,0,0,8,"13_WEEK MATURE,13_WEEK, MATURE,3_MONTH, MATURE,4_WEEK MATURE,4_WEEK, MATURE,6_MONTH, MATURE,8_WEEK, MATURE,MATURE"
L000590,Susie Lee,9,10,9,0,1,ON
M001196,Seth Moulton,2,2,2,0,0,
M001222,Max Miller,3,8,3,0,5,"GHY,GLAS FUNDS,GLAS FUNDS, LP,STEW,VRNG"
D000624,Debbie Dingell,7,7,7,0,0,
C001068,Steve Cohen,3,3,3,0,0,
G000061,Michael Garcia,2,2,2,0,0,
M001204,Daniel Meuser,2,2,2,0,0,
C001101,Katherine M. Clark,2,2,2,0,0,
E000296,Dwight Evans,5,6,5,0,1,SRE$A
M001220,Morgan McGarvey,4,4,4,0,0,
L000566,Robert E. Latta,2,2,2,0,0,
B001291,Brian Babin,3,3,3,0,0,
R000305,Deborah Ross,2,2,2,0,0,
S000929,Victoria Spartz,1,1,1,0,0,
A000378,Cindy Axne,1,1,1,0,0,
L000559,James R. Langevin,1,1,1,0,0,
S001214,Greg Steube,1,1,1,0,0,
W000797,Debbie Wasserman Schultz,2,2,2,0,0,
S001205,Mary Gay Scanlon,2,2,2,0,0,
B000740,Stephanie Bice,0,1,0,0,1,912796ZP7
C001120,Daniel Crenshaw,1,1,1,0,0,
F000469,Russ Fulcher,0,1,0,0,1,BANC$E
H001086,Diana Harshbarger,0,53,0,0,53,"AAPL,ABC,ACM,ADBE,AMZN,AON,ARVLF,AVGO,AZO,BAH,BKR,BMY,CDW,CMCSA,CVS,EA,ELV,EW,FIS,GOOG,GS,GT,H,HLI,JNJ,JPM,KDP,KO,LIN,LMT,MDT,META,MRK,MSFT,NEE,NOAH,NOW,ORCL,PAYX,PCAR,PEP,PG,PYPL,QCOM,RSG,RTX,SCI,SUI,TMUS,V,VRSN,WFC,WMT"
K000009,Marcy Kaptur,1,1,1,0,0,
M001227,Jennifer McClellan,1,1,1,0,0,
S001189,Austin Scott,1,1,1,0,0,
S001207,Mikie Sherrill,1,1,1,0,0,
S001209,Abigail Spanberger,1,1,1,0,0,
