bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
K000389,Rohit Khanna,556,611,517,39,94,"AAM_PA,AFG,AGO,AL,ALLY,ANRO,APPY,ASFI,ATGL,ATRN,BILL,BMO,BNP,BNS,BRDS,BRK_B,CCE,CHPT,CHRB,CM,CMS,CNP,CPHD,CUB,D,DNAY,DUK,DVMT,E,EGHT,EIR,EIS,EIX,ELN,EMA,ENB,ET_PC,EXEL,FB,FCNCA,FI,FIGS,FRC_PL,GCVRZ,GOOG,GRE,HFRO,HSBA,IBDY,IBE,INZ,IRIX,ISHC,JTAIW,KAL,KOMN,LBRDA,LEN_B,LLY_WD,LNCB,LOLI,LSXMR,LTHM_W,MAR,MIAM,MKL,NET,NTEST,OEI,ONCO,PARAA,PDLB,RDS,RDS_A,RY,SIE,SLND,SNOW,SO,SPOT,SRE,STX,TAK_W,TOR,UN,USBC1,VERX,VIAC,VOYA,VRNG,W,WRB_PG,YNDX,ZI"
M001157,Michael T. McCaul,140,231,123,17,108,"ACM,ACPC,AIC1,AIT,ALE,AONC,APOS,ARKVX,ASAL,ASBA,ASTM,ATEST_A,ATKR,ATRN,ATX,AUMA,BIAC,BIRT,BKDT,BLOC_U,BNRE,BNZI,BOTA,CAE,CAG,CHTR,CIIG,CISC,CISS,CNE1,CNHI,COLV,CONN,CSAL,CSTAF,CTEST,CZWI,ELLO,ELPC,ELVN,EMEX,EOAN,ERKA,FB,GEER,HDNG,HW,IBP,IHD,INS,ISHC,IVZ,JASN1,JNC,JTAIW,KASP,KTO,LAES,LAWS,LBRDA,LEARQ,LG,LOLI,MAMA,MBC,MCVT,MOBX,MPET,MSAI,MTCH1,MTG,NAIT,NBN,NCMV,NMT,NOLD,NWL,NYC,ONCO,PMTU,PRAI,PUMP1,PWRS,RDS_A,REVH,SARAQ,SBMC,SCCE,SDOT,SELX,SHEL,SOAR,SPOR,STAR,STIX,STNE,STT_P_E_CL,TAAL,TBL,TLP,UPHN,USBI,VAST,VRNG,VTEX,WASH,WB1,WE"
G000599,Daniel Goldman,707,708,707,0,1,STATE OF
G000583,Josh Gottheimer,185,185,185,0,0,
F000462,Lois Frankel,108,108,108,0,0,
A000372,Richard W. Allen,53,66,49,4,17,"36966R5P7,912796QV4,912796QX0,912796SH3,912796U31,912796U49,912796WX3,912796X87,912796XQ7,912796YH6,912796YJ2,912797LL9,91282CDR9,91282CEG2,91282CFG1,91282CFN6,SCHW$D"
S001211,Greg Stanton,95,95,95,0,0,
H001082,Kevin Hern,62,62,62,0,0,
H001086,Diana Harshbarger,52,53,50,2,3,"ARVLF,GOOG,NOAH"
L000397,Zoe Lofgren,93,94,93,0,1,BELGIUM
