bioguide,name,nous,quiver,delta,no_ticker,ocr,verdict
P000612,"David A Perdue , Jr",454,336,118,24,0,nous_plus
C000174,Thomas R Carper,166,16,150,148,0,nous_plus
M001111,Patty Murray,161,161,0,0,0,concordant
W000802,Sheldon Whitehouse,142,104,38,8,0,nous_plus
C001047,Shelley M Capito,87,77,10,10,0,nous_plus
R000307,Pat Roberts,87,65,22,13,0,nous_plus
T000461,Patrick J Toomey,52,21,31,8,0,nous_plus
I000024,James M Inhofe,50,49,1,1,0,nous_plus
C001075,William Cassidy,49,16,33,1,0,nous_plus
H001061,John Hoeven,45,38,7,5,0,nous_plus
R000122,John F Reed,45,31,14,2,0,nous_plus
C001035,Susan M Collins,27,20,7,7,0,nous_plus
K000383,"Angus S King, Jr.",23,8,15,15,0,nous_plus
A000360,Lamar Alexander,22,0,22,22,0,quiver_sans_donnee
P000595,Gary C Peters,18,9,9,9,0,nous_plus
D000622,Tammy Duckworth,14,16,-2,0,0,quiver_plus_a_verifier
W000805,Mark R Warner,9,3,6,6,0,nous_plus
W000779,Ron L Wyden,7,0,7,7,0,quiver_sans_donnee
B001267,Michael F Bennet,4,3,1,1,0,nous_plus
C001098,Rafael E Cruz,3,0,3,2,0,quiver_sans_donnee
M000355,"A. Mitchell McConnell, Jr.",3,0,3,3,0,quiver_sans_donnee
T000476,Thomas R Tillis,3,2,1,1,0,nous_plus
M001183,"Joseph Manchin, III",2,1,1,1,0,nous_plus
R000605,Mike Rounds,2,0,2,2,0,quiver_sans_donnee
C000880,Michael D Crapo,1,0,1,1,0,quiver_sans_donnee
C001056,John Cornyn,1,1,0,0,0,concordant
D000618,Steve Daines,1,0,1,1,0,quiver_sans_donnee
S001181,Jeanne Shaheen,1,0,1,1,0,quiver_sans_donnee
B001299,James E. Banks,0,1,-1,0,0,quiver_seul
C000567,Thad Cochran,0,135,-135,0,0,quiver_seul
R000608,Jacky Rosen,0,6,-6,0,0,quiver_seul
V000128,Chris Van Hollen,0,7,-7,0,0,quiver_seul
