bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
P000612,"David A Perdue , Jr",139,138,138,1,0,
L000594,Kelly Loeffler,110,110,109,1,1,RTN
C000174,Thomas R Carper,136,134,134,2,0,
W000779,Ron L Wyden,59,59,59,0,0,
R000307,Pat Roberts,33,33,33,0,0,
M000934,"Jerry Moran,",31,25,25,6,0,
C001075,William Cassidy,26,25,25,1,0,
T000461,Patrick J Toomey,9,6,5,4,1,NTRP
W000802,Sheldon Whitehouse,15,13,10,5,3,"FTV,RTN,UTX"
I000024,James M Inhofe,16,13,13,3,0,
H001061,John Hoeven,9,9,9,0,0,
C001047,Shelley M Capito,9,7,7,2,0,
K000383,"Angus S King, Jr.",5,5,5,0,0,
S001198,Daniel S Sullivan,2,2,2,0,0,
M000355,"A. Mitchell McConnell, Jr.",1,1,1,0,0,
W000437,Roger F Wicker,3,3,3,0,0,
S001203,Tina Smith,2,2,2,0,0,
R000608,Jacklyn S Rosen,2,2,1,1,1,PFE
K000384,Timothy M Kaine,1,1,1,0,0,
