bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
M001157,Michael T. McCaul,222,302,186,36,116,"ALBK,AONC,APCX,ASNS,AZTA,BCOM,BHGE,BOX,BSMX,BWMX,CAAP,CARM,CBF,CBPO,CDORP,CHRB,CION,CISC,CISS,CNTY,COLV,CONN,CRHC,CURT,DALN,DATE,DEST,DG1,DNB1,DOW,DRD,DSCO,DSKY,DST,DTSI,EGN,ELPC,EURO,EXCU,FCEA,FFKT,GEER,GRE,HAST,HCOM,HDB,HEN3,IBDY,IBN,ICL,IILG,ION1,ISIL,JCSE,JET,KEN,KMX,KO,KRON,LAES,LAWS,LEARQ,LINE,LOLI,LRLSQ,LVLT,MDA,MEAT,MERQ,MFAN,MPET,NAIT,NBN,NCMV,NDRE,NMC,NP,NSA,NTEST,NVEC,NYC,OSLE,PRIM,PW,QLTI,QWST,RBD,RH,ROP,SDOT,SHO_P_I,SHPG,SISI,SLGC,SNC,SPOR,SPRI1,SSU,TFCF,TFSL,TPTA,TRINL,TSC,TV,TX1,UCI1,UN,UPLM,UVE,VRNG,VTEX,WAFD,WB1,WCN,WE,WFRD"
K000389,Rohit Khanna,472,537,422,50,115,"44,AABA,AAON,ADEA,AEPPZ,AEUA,AFA,AFG,AFGB,AGN1,ALLE,AMP1,APTV_W,ATRN,AUT,AZTA,BARZ1,BCPC,BEAS,BKNG,BRK_B,CARM,CFG_P_E,CHTRQ,CISC,CLCO,CMCSK,CMS_PC,CNTY,COLV,CRK,CYAN,C_WS_A,DALRQ,DAN,DCUA,DCUB,DTY,DXLG,EASTW,EDAC,ELN,ELPC,ENDG,EPTG,EQT,EXPR,FI,FSCI,GLFD,GLP,GOOG,GS,GSBD,HEN,HFWA,HPQ_W,IGAF,JEC,KMB_W,KMI1,KMI_W,KOSS,KT,LEN_B,LLY_WD,LNCB,LNCOQ,LSXMR,MIAM,MNK,NAIT,NLY,OSCA,O_P,PCGU,PLD1,PRXI,PTMK,Q,RCM1,RE,RED,REGCO,RF_PE,RMP,SEH,SEMG,SINT1,SMRA,SPOR,SQ,SREA,STI_WSB,SWH,SWT,TBB,TE1,TFCF,TFCFA,THE,TLLP,TSNU,TWX1,UFHI,UHAL,URS,VCA,VERX,VNO_PO,VTR_W,WELL,WFC1,XELB,ZKH"
M001193,Thomas MacArthur,69,134,69,0,65,"ABEV,ACN,ACSAY,AER,AEXAY,AHONY,ALPMY,BAESY,BATRA,BATRK,BAYRY,BBVA,BIDU,BTI,CABGY,CNQ,DBOEY,DBSDY,DCP,DM,DNHBY,DPSGY,EADSY,EMB,EMLC,EQGP,FRCOY,IEF,IEMG,INFO,ISNPY,JBAXY,JCI,KMTUY,LGF_B,LQD,LSXMA,LSXMK,MITEY,MLPX,MMC,MPLX,MRAAY,MT,MZDAY,NEP,OTSKY,PHG,RDSMY,RDS_A,RHHBY,RSP,SCGLY,SEKEY,SEP,SOMLY,STBFY,SVNDY,TTM,UNH,VEA,WGP,XLF,XLI,XLP"
R000583,Thomas J. Rooney,118,140,118,0,22,"ACN,ACRE,AINV,ARCC,AVGO,BABA,BK,BKCC,CBG,CE,EXPD,FTAI,FV,GOOG,IBM,MSG,NRZ,NSRGY,POT,TEL,UNH,WSH"
C001062,K. Michael Conaway,26,38,26,0,12,"BNS,DD,IBM,MCD,MMM,MSFT,OXY,PNC,RDS_B,TMO,UNH,UTX"
C001107,Carlos Curbelo,54,64,52,2,12,"ACN,ASHS,BAC,DIA,ETP,GOGO,IBB,MDLZ,MMP,PCY,PRXL,ROBO"
S000583,Lamar Smith,54,68,54,0,14,"BAH,GOOG,LAUR,MJN,NATI,NSR,SHPG,SIX,TDG,ULTI,UNH,WAB,WLTW,WST"
T000475,David A. Trott,2,7,2,0,5,"ANDX,EQM,ETP,PSXP,VLP"
L000579,Alan S. Lowenthal,39,45,39,0,6,"DLPH,GOOG,INFO,MRK,SIEGY,UNH"
C001101,Katherine M. Clark,30,35,30,0,5,"CCE,CHKP,PXD,RBA,UNH"
S000250,Pete Sessions,50,55,50,0,5,"COKE,ETP,GOOG,OXY,SBAC"
F000461,Bill Flores,23,47,23,0,24,"AAPL,ADP,ANDX,CL,COH,EMR,EPD,GIS,II,INTC,JNJ,LMT,MA,MCD,MMM,MO,PAA,PEP,PM,T,TJX,UPS,WMB,XOM"
L000397,Zoe Lofgren,71,80,70,1,10,"AEP,ARCC,AWK,CNSL,HTA,MAA,MRK,PNC,SIX,UNH"
F000462,Lois Frankel,35,73,35,0,38,"ABT,ADM,AXP,BSX,COL,CVS,DD,DISCK,DOX,EOG,ETN,FAST,FDN,HIG,IPGP,ITW,JCI,JNS,JPM,MAT,MRK,MSTR,NDAQ,NYCB,OMC,OXY,PBF,PXD,RGC,STI,SYF,TMO,TXN,UNFI,VAR,VZ,WFC,XEL"
B001297,Kenneth R. Buck,24,39,24,0,15,"AIG,BBVA,CS,CSGKF,EBKDY,ENLAY,ETN,IBM,ISNPY,NOK,OAK,PHG,RDS_A,SNY,YARIY"
F000450,Virginia Foxx,22,34,22,0,12,"APTS,ARLP,ERIE,ETP,HBI,MRK,PBA,PEGI,SDOG,SPH,VGR,VOT"
M001180,David B. McKinley,33,38,32,1,6,"ACN,CTSH,ESRX,EXPD,MKC,UNH"
Y000062,John A. Yarmuth,39,79,39,0,40,"ADP,AFAM,AGN,AIG,AMGN,CMCSK,CVS,DD,ECL,EL,FB,FTV,INTC,JNJ,JPM,KO,MA,MCK,MDLZ,MDNDF,MO,MRK,MRO,MS,NEE,PKG,SBAC,SLB,TGT,TJX,UNH,UNP,USB,UTX,V,VEA,VWO,WFC,YUM,YUMC"
J000295,David P. Joyce,17,26,17,0,9,"DBEF,IBB,NRF,OXY,PKB,QIHU,RYH,VEA,XBI"
D000624,Debbie Dingell,23,27,23,0,4,"IBM,JCI,MDLZ,NSRGY"
S001190,Bradley S. Schneider,21,21,21,0,0,
L000554,Frank A. LoBiondo,28,28,28,0,0,
D000617,Suzan K. DelBene,2,1,1,1,0,
