bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
K000389,Rohit Khanna,674,668,591,83,77,"1AMT_MI,ACM,ADT,AFG,AGN,AONE,ATH,ATH_PC,ATRN,AXNT,BCPC,BGSF,BIPC,BRK_B,CAE,CARM,CATO,CBS,CCE,CGNX,CLNY,CPRI,CTRL1,DISCA,DOMA,DT,EDAC,ELN,EOAN,EQM,ETRADE,EXEL,FI,FRC_PL,FXENP,GCI,GNCMA,GOOG,HACH,HFWA,HHH,ICNT,IHS,INTR,IVDA,JEC,KAL,LBRDA,LBRDK,LGFA,LLY_WD,LMCA,MJCO,MKSI,MPET,MSG_W,NDSN,NGEN,NPTN,NWSA,OCAI,OMG,PSTR,PYPL1,RE,RFXCQ,SACM,SAGE,STZ_B,SYMC,TCP,TDA,TMCI1,TMUSP,WWE,YNDX,ZG"
M001157,Michael T. McCaul,229,295,198,31,97,"ACQR,AEF,ALBK,AONC,ATH_PE,AUMA,AWRE,BBCN,BHGE,BNZI,BRKR,CBPX,CBS,CIIG,CISC,CISS,CIVI,CNG,COLV,CRC,CUL,CYS,DG1,DSW,DVA,EIS,ELN,ELPC,ERKA,FI,FLA,GEER,GEPT,GNCMA,GRE,HCOM,HDNG,HEN3,HGTY,HHH,IBDY,ICOR2,IMSC,INDG,ISHC,IVZ,KEN,KTO,LAWS,LLY_WD,LMFAU,LMRK,LOLI,LRLSQ,LTRPB,MFAN,MHK,MOBX,MPET,MSCI,MTW,NBN,NCMV,NESC,NP,NTEST,NVEC,NYC,ONTY,PKX,PRIM,QWST,RH,SDOT,SLND,SMMCU,SNN,SONC,SPCBQ,SPOR,STAR,STAY,TOO,TSC,TX1,TXN,UMC,UMR,UN,VAST,VERX,VRNG,VTEX,VVI,WASH,WB1,WBC"
C001123,Gilbert Cisneros,351,353,351,0,2,"CNP,DISCA"
S001206,Donna Shalala,307,309,307,0,2,"IFNNY,USPH"
G000583,Josh Gottheimer,202,203,202,0,1,VZ
B001292,Donald Sternoff Beyer,56,56,56,0,0,
P000616,Dean Phillips,190,190,190,0,0,
L000579,Alan S. Lowenthal,46,46,46,0,0,
L000590,Susie Lee,170,171,170,0,1,TMUS
G000590,Mark Green,26,26,26,0,0,
C001062,K. Michael Conaway,62,62,62,0,0,
S001207,Mikie Sherrill,119,119,119,0,0,
C001069,Joe Courtney,71,71,71,0,0,
F000462,Lois Frankel,84,84,84,0,0,
C001101,Katherine M. Clark,52,52,52,0,0,
H001082,Kevin Hern,66,66,66,0,0,
M001180,David B. McKinley,43,43,43,0,0,
L000559,James R. Langevin,17,17,17,0,0,
B000574,Earl Blumenauer,45,45,45,0,0,
L000397,Zoe Lofgren,69,69,69,0,0,
Y000062,John A. Yarmuth,55,55,55,0,0,
D000617,Suzan K. DelBene,1,1,1,0,0,
F000450,Virginia Foxx,16,16,16,0,0,
C001068,Steve Cohen,27,27,27,0,0,
P000608,Scott H. Peters,1,1,1,0,0,
E000296,Dwight Evans,34,34,34,0,0,
M001205,Carol Devine Miller,34,34,34,0,0,
G000579,Michael John Gallagher,33,33,33,0,0,
G000061,Michael Garcia,10,10,10,0,0,
L000557,John B. Larson,29,29,29,0,0,
P000197,Nancy Pelosi,15,14,14,1,0,
P000593,Ed Perlmutter,17,17,17,0,0,
J000295,David P. Joyce,18,18,18,0,0,
B001274,Mo Brooks,18,18,18,0,0,
C001066,Kathy Castor,8,8,8,0,0,
K000378,Adam Kinzinger,4,4,4,0,0,
R000609,John Rutherford,20,20,20,0,0,
S001189,Austin Scott,8,9,8,0,1,CLNE
J000020,Christopher L. Jacobs,21,21,21,0,0,
D000399,Lloyd Doggett,5,5,5,0,0,
T000479,Nicholas Van Taylor,9,9,9,0,0,
W000804,Robert J. Wittman,18,18,18,0,0,
D000598,Susan A. Davis,12,12,12,0,0,
M001199,Brian Mast,11,11,11,0,0,
T000480,William R. Timmons,14,14,14,0,0,
M001206,Joseph D. Morelle,17,17,17,0,0,
G000563,Bob Gibbs,13,13,13,0,0,
B001284,Susan W. Brooks,11,12,11,0,1,GE
T000483,David Trone,4,4,4,0,0,
R000597,Tom Rice,5,5,5,0,0,
S001199,Lloyd K. Smucker,3,3,3,0,0,
D000624,Debbie Dingell,8,8,8,0,0,
M001204,Daniel Meuser,10,10,10,0,0,
