year,uuid,member,disclosure_date
2021,f0f1cd53-d159-42e8-89fc-c86fc7a7a68c,RICHARD BLUMENTHAL,2021-06-28
2021,4716d538-d7d0-4146-8ed3-d619366db4da,JOHN BOOZMAN,2021-06-10
2021,c83ebe60-e64e-47a2-a63c-1b219ec7a404,RICHARD M BURR,2021-05-17
2021,612be9f2-83b7-4ae3-b107-458dd493b516,JOHN BOOZMAN,2021-05-11
2021,6b110b5f-e060-4d6d-b1c2-b14d8442d03c,JOHN BOOZMAN,2021-05-06
2021,5afb1535-000b-4e84-b8ad-908381f5ac2a,JOHN BOOZMAN,2021-04-06
2021,a68e9328-7725-42ef-8f34-32fb4139270f,RICHARD BLUMENTHAL,2021-03-15
2021,f276f338-ccee-4392-bb95-f55fd8b57f24,JOHN BOOZMAN,2021-03-09
2021,ba1163f0-8d19-41a2-8745-83028a346a62,JOHN BOOZMAN,2021-02-10
2021,f22c2d87-4f73-4469-8fcc-02c9567c6707,RICHARD BLUMENTHAL,2021-02-01
2021,37bcc48e-e4b7-42b4-b33c-e4b8e126fb7a,DIANNE FEINSTEIN,2021-01-12
2022,2a393d64-8daa-4b4b-9fe0-82923c3b0544,JOHN BOOZMAN,2022-12-14
2022,e02847b3-30f1-40ae-90f0-f87752f56472,RICHARD BLUMENTHAL,2022-11-30
2022,6b63ba3f-2f97-4e8e-8e64-4043d29fe10e,JOHN BOOZMAN,2022-11-10
2022,5d1db106-16dc-4cfa-bbdd-bca6f03dd5bd,JOHN BOOZMAN,2022-10-07
2022,77237d34-d0f2-4336-a25c-91fd0b107e14,RICHARD BLUMENTHAL,2022-10-05
2022,7f733a14-a6be-4cc1-af27-c4f059fedb3f,RICHARD BLUMENTHAL,2022-09-07
2022,56ee8988-3c92-4408-a148-e65a0f4c3576,JOHN BOOZMAN,2022-08-25
2022,802a6462-e067-42f3-b3d3-6a2071b21198,RICHARD BLUMENTHAL,2022-07-27
2022,a2384543-f25f-427f-8935-853f6c6dcfd7,JOHN BOOZMAN,2022-07-20
2022,0c238ab7-cc33-40bd-b590-71b96409887e,JOHN BOOZMAN,2022-06-08
2022,23551b1d-69dc-4622-9c3c-304ba11d4047,RICHARD BLUMENTHAL,2022-06-07
2022,bf71ee8a-8362-4e9d-833b-145c63d97f82,JOHN BOOZMAN,2022-05-12
2022,19d089ab-729e-4b52-95c4-585a9b085b55,RICHARD BLUMENTHAL,2022-04-26
2022,008c8224-f7ef-4a01-8cd2-8b92ca71d0c5,JOHN BOOZMAN,2022-04-07
2022,accadeb3-5ecf-4be2-a460-95b8888ae4ba,RICHARD BLUMENTHAL,2022-03-03
2022,676e1821-b88d-46d9-ab48-15363c5b8405,DIANNE FEINSTEIN,2022-02-15
2022,7e2a5d00-362a-45fb-9c24-c9ca9f1944c3,JOHN BOOZMAN,2022-02-07
2022,01d98c63-1737-4bfd-b6eb-1e429dc16c1b,RICHARD BLUMENTHAL,2022-02-02
2022,c6ad481e-9a51-4593-8d24-40b5ad87fe7c,JOHN BOOZMAN,2022-01-12
2023,8372e04b-ed41-41f2-a780-f4ce4db9cac0,RICHARD BLUMENTHAL,2023-12-15
2023,7ebf3c9c-8caf-4b75-8150-e0975727eed8,RICHARD BLUMENTHAL,2023-09-19
2023,f805b510-6697-47ac-a54c-91449afcc3be,RICHARD BLUMENTHAL,2023-09-05
2023,85d6ffc4-9aab-4548-ae3a-439fb20a9ccc,JOHN BOOZMAN,2023-08-21
2023,5e3f0c2c-fff4-46b0-b29b-a6fe3fc87b61,RICHARD BLUMENTHAL,2023-08-07
2023,ab1c52c9-9881-4142-81a1-4081210c40a0,JOHN BOOZMAN,2023-07-12
2023,45b4a191-b18e-4a4b-89cd-d92bc5edd777,RICHARD BLUMENTHAL,2023-07-11
2023,feaa20dd-677f-40a4-ba7d-e0d64a61b665,RICHARD BLUMENTHAL,2023-06-14
2023,7ec5049f-bfd4-4402-b516-1bdc2f50147f,JOHN BOOZMAN,2023-05-26
2023,db14ceb9-7925-489e-99b2-003f5850eab4,RICHARD BLUMENTHAL,2023-04-20
2023,c96aed47-2270-43fd-b4be-3a06edc428df,JOHN BOOZMAN,2023-04-10
2023,5b864c4e-fadf-49af-bdb0-e4cb3db38d21,RICHARD BLUMENTHAL,2023-03-22
2023,7dfcd5fd-ae2e-4a52-8f54-bcfe1c4599ef,JOHN BOOZMAN,2023-03-06
2023,e88a2069-7bc6-4635-ae19-37fbd533a3f1,RICHARD BLUMENTHAL,2023-02-01
2023,4df8548a-b058-4538-b273-ede087597a28,JOHN BOOZMAN,2023-01-11
2024,7d8d619e-cbcb-4fec-9146-d4bbd7b87c3a,RICHARD BLUMENTHAL,2024-12-31
2024,9af2d969-8530-41e5-bba4-fbdfa7dce896,RICHARD BLUMENTHAL,2024-12-09
2024,fde3b4a5-78ab-4ec7-a0a1-fc462d39649a,RICHARD BLUMENTHAL,2024-10-30
2024,520e479e-3586-4de5-a16b-cb7c22414594,RICHARD BLUMENTHAL,2024-10-16
2024,c6b29455-39fd-4033-93fe-f9b1d69c9751,RICHARD BLUMENTHAL,2024-10-02
2024,d7e2b033-3bb4-4877-95fc-497264e9e0ce,RICHARD BLUMENTHAL,2024-08-20
2024,3b1affbf-2359-4fef-980d-1d2600cb8731,JOHN FETTERMAN,2024-07-12
2024,2cd90465-7aef-4f33-881a-57cbf4f439ef,RICHARD BLUMENTHAL,2024-06-20
2024,3c3b2fe8-c1ea-4d84-b986-a4484cbead80,RICHARD BLUMENTHAL,2024-05-21
2024,2842ecf5-a3c9-4263-a25b-cb6ddde63186,RICHARD BLUMENTHAL,2024-05-03
2024,75a6a5f9-4076-45df-bd8e-6b884f7a2a2a,RICHARD BLUMENTHAL,2024-04-12
2024,9a6471ce-564f-4f65-8a3d-2c12370bf870,RICHARD BLUMENTHAL,2024-03-28
2024,0663c4d9-f5f8-43d4-81d3-6d46b49d4dfd,RICHARD BLUMENTHAL,2024-03-05
2024,9335e60a-450c-464e-8452-8602eec4d2ad,RICHARD BLUMENTHAL,2024-02-05
2025,13a0fc2a-bbbb-4c1b-b380-d315e198d2a3,RICHARD BLUMENTHAL,2025-12-22
2025,16afdd38-c0ec-4e37-bc05-cbd82901b43f,RICHARD BLUMENTHAL,2025-12-12
2025,19dc3e18-b10f-465d-8f37-117ab78a8d0b,RICHARD BLUMENTHAL,2025-12-01
2025,e63995b3-352b-4cf8-ac61-ae05cfa7553b,RICHARD BLUMENTHAL,2025-11-17
2025,4728c5fd-8bbd-43f7-a028-d17cfb8008dc,RICHARD BLUMENTHAL,2025-10-24
2025,f8c167e9-090d-471d-81c9-f8c7366420d1,RICHARD BLUMENTHAL,2025-10-02
2025,387cefb6-11f7-4871-89ef-5bad61124584,RICHARD BLUMENTHAL,2025-09-24
2025,e08ef39c-87e8-4381-9f92-41218ecc7cd4,RICHARD BLUMENTHAL,2025-09-12
2025,05ec5023-a80c-47ce-8f1c-02494ac41ba3,RICHARD BLUMENTHAL,2025-08-25
2025,09694768-3b1e-4af0-8b46-8521c00cbd96,RICHARD BLUMENTHAL,2025-08-13
2025,85d70f0a-406a-40e1-80bb-bd9fbdf4d360,RICHARD BLUMENTHAL,2025-08-13
2025,db518e1a-cc0c-4d04-95c9-f22f1c1a1e36,RICHARD BLUMENTHAL,2025-07-18
2025,69b40e20-ff5a-45cd-92cb-a24035f53f33,RICHARD BLUMENTHAL,2025-07-03
2025,95c54ecf-69b7-47d2-8cc9-e68dac2db254,RICHARD BLUMENTHAL,2025-06-20
2025,a3722489-195c-4554-8ad0-d32981aa2f61,RICHARD BLUMENTHAL,2025-05-28
2025,d5562ad3-9789-426c-9ba9-a056e09d62c1,RICHARD BLUMENTHAL,2025-05-06
2025,ee360a8f-8d24-4dd3-8176-652d7ec64d3c,RICHARD BLUMENTHAL,2025-04-07
2025,8e8ae815-6d8b-4330-8aa0-da89ab2e2ca0,RICHARD BLUMENTHAL,2025-03-17
2025,4fbbf6be-25c1-4589-bda0-95b5295c4107,RICHARD BLUMENTHAL,2025-03-04
2025,14607985-10ba-44a3-bd64-9840e003b06e,RICHARD BLUMENTHAL,2025-02-10
2025,d7d35e4a-545e-4215-a318-f90031461bc3,RICHARD BLUMENTHAL,2025-01-21
2026,a0d25e8f-fe54-4328-a7ea-504da008742b,RICHARD BLUMENTHAL,2026-06-08
2026,d02263c3-381d-4ee9-8d84-2c44d9baa59e,RICHARD BLUMENTHAL,2026-05-19
2026,f028d2ce-4ab7-41a8-a67a-91675b6941d7,RICHARD BLUMENTHAL,2026-04-08
2026,d337c392-e0aa-428e-be93-44a327b90d08,RICHARD BLUMENTHAL,2026-03-13
2026,068274e1-4b7a-4453-a242-563dde4c10d8,RICHARD BLUMENTHAL,2026-02-12
2026,f873aeb4-adbb-4934-a188-79416a2e4c76,RICHARD BLUMENTHAL,2026-01-20
