doc_id,filing_type,asset_description,ticker,ticker_source,owner,value_range,value_lo,value_hi,bioguide,filing_date,annee_index
8213877,C,Howard Hughes Corp. Stock,HHC,corpus,SELF,"$1 - $1,000",1.0,1000.0,,2014-01-03,2014
8213877,C,SW Life Ins. Whole Life Policy,,aucun,SP,"$1,001 - $15,000",1001.0,15000.0,,2014-01-03,2014
8213877,C,NY Life Ins. Whole Life Policy,,aucun,SELF,"$1,001 - $15,000",1001.0,15000.0,,2014-01-03,2014
8213877,C,AmBEST Shares,,aucun,SELF,"$50,001 - $100,000",50001.0,100000.0,,2014-01-03,2014
8213877,C,Capital One 360 Accounts,,aucun,SELF,"$50,001 - $100,000",50001.0,100000.0,,2014-01-03,2014
8213877,C,"Rental Property Located in Houston, TX",,aucun,SELF,"$250,001 - $500,000",250001.0,500000.0,,2014-01-03,2014
8213877,C,"1st Bank of Paducah, KY accounts",,aucun,SELF,"$100,001 - $250,000",100001.0,250000.0,,2014-01-03,2014
8213877,C,Fidelity Freedom K,,aucun,SP,"$1,001 - $15,000",1001.0,15000.0,,2014-01-03,2014
8213877,C,TC Lifecycle,,aucun,SP,"$1,001 - $15,000",1001.0,15000.0,,2014-01-03,2014
8213877,C,TIAA-CREF,,aucun,SELF,"$1,001 - $15,000",1001.0,15000.0,,2014-01-03,2014
8213877,C,Marlkey Fuel Bldg. Fund,,aucun,SELF,"$1,001 - $15,000",1001.0,15000.0,,2014-01-03,2014
8213877,C,UD40 Co. Stock,,aucun,SELF,"$1,001 - $15,000",1001.0,15000.0,,2014-01-03,2014
8213877,C,OPS Stock,,aucun,SELF,"$1,001 - $15,000",1001.0,15000.0,,2014-01-03,2014
8213877,C,Snyders Lance Stock,,aucun,SELF,"$1,001 - $15,000",1001.0,15000.0,,2014-01-03,2014
8213877,C,Howard Hughes Corp. Stock,HHC,corpus,SELF,"$1,001 - $15,000",1001.0,15000.0,,2014-01-03,2014
8213877,C,GE Stock,,aucun,SELF,"$1,001 - $15,000",1001.0,15000.0,,2014-01-03,2014
8213877,C,Ford Motor Stock,F,corpus,SELF,"$1,001 - $15,000",1001.0,15000.0,,2014-01-03,2014
8213877,C,Cash,,aucun,SELF,"$1,001 - $15,000",1001.0,15000.0,,2014-01-03,2014
8213877,C,Fidelity Roth IRA,,aucun,SELF,None,0.0,0.0,,2014-01-03,2014
8213877,C,Energy Shutters Stock,,aucun,SELF,None,0.0,0.0,,2014-01-03,2014
8213980,C,Residential Rental Prop.,,aucun,JT,"$100,001 - $250,000",100001.0,250000.0,,2014-01-28,2014
8213980,C,"20 acre lot, unimproved, Pioneer, CA",,aucun,SP,"$50,001 - $100,000",50001.0,100000.0,,2014-01-28,2014
8213980,C,"Real Estate Company, Lodi, California - Amador + Associates Realty",,aucun,SP,"$15,001 - $50,000",15001.0,50000.0,,2014-01-28,2014
8213980,C,"Elk Grove, CA - S-Corp",,aucun,SP,"$15,001 - $50,000",15001.0,50000.0,,2014-01-28,2014
8213981,C,"proU.net, Inc. (1.5 M shares)",,aucun,SELF,"$100,001 - $250,000",100001.0,250000.0,,2014-02-03,2014
8213981,C,"1st Bank of Paducah, KY accounts",,aucun,SELF,"$15,001 - $50,000",15001.0,50000.0,,2014-02-03,2014
8213982,C,Etrade,,aucun,JT,"$100,001 - $250,000",100001.0,250000.0,,2014-02-05,2014
8213982,C,Ameritrade,,aucun,JT,Indefinite,,,,2014-02-05,2014
8213983,C,"778 Main Street, Eagar, AZ",,aucun,SELF,"$50,001 - $100,000",50001.0,100000.0,,2014-01-31,2014
8213983,C,"840 Sunshine Blvd, Springerville, AZ",,aucun,SP,"$100,001 - $250,000",100001.0,250000.0,,2014-01-31,2014
8213983,C,"Slash 4 Chambers, Springerville, AZ",,aucun,SELF,"$50,001 - $100,000",50001.0,100000.0,,2014-01-31,2014
8213983,C,"Savings Account, National Bank of Arizona",,aucun,SELF,"$50,001 - $100,000",50001.0,100000.0,,2014-01-31,2014
8213983,C,"Checking Account, National Bank of Arizona",,aucun,JT,"$1,001 - $15,000",1001.0,15000.0,,2014-01-31,2014
8213983,C,"1st Bank of Paducah, KY accounts",,aucun,SELF,"$15,001 - $50,000",15001.0,50000.0,,2014-01-31,2014
8213983,C,"Simon & Schuster, Mega Corp Stock",,aucun,SELF,Indefinite,,,,2014-01-31,2014
8213983,C,"United States Team Roping Championship, Stephenville, TX",,aucun,SELF,,,,,2014-01-31,2014
8213983,C,"Centerfire Inns, LLC, Springerville, AZ",,aucun,SELF,,,,,2014-01-31,2014
8213983,C,"Reagan County, TX Oil and Gas Leases",,aucun,SELF,"$50,001 - $100,000",50001.0,100000.0,,2014-01-31,2014
8213983,C,"Midland County, TX Oil and Gas Leases",,aucun,SELF,"$15,001 - $50,000",15001.0,50000.0,,2014-01-31,2014
8213983,C,"Oil and Gas Leases, Midland County, TX",,aucun,JT,"$15,001 - $50,000",15001.0,50000.0,,2014-01-31,2014
8213983,C,"Andrews County, TX Oil and Gas Leases",,aucun,SELF,"$15,001 - $50,000",15001.0,50000.0,,2014-01-31,2014
8213983,C,"60 Emerald Lane, Springerville, AZ",,aucun,DC,"$50,001 - $100,000",50001.0,100000.0,,2014-01-31,2014
8213983,C,"1473 Slash 4, Springerville, AZ",,aucun,JT,"$100,001 - $250,000",100001.0,250000.0,,2014-01-31,2014
8213983,C,"158 Emerald Lane, Springerville, AZ",,aucun,DC,"$250,001 - $500,000",250001.0,500000.0,,2014-01-31,2014
