bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
T000278,Thomas H Tuberville,114,114,114,0,0,
C000174,Thomas R Carper,99,99,99,0,0,
M001190,Markwayne Mullin,58,58,58,0,0,
S001198,Daniel S Sullivan,45,34,34,11,0,
C001047,Shelley M Capito,25,24,24,1,0,
S001217,Rick Scott,1,1,1,0,0,
W000805,Mark R Warner,1,1,1,0,0,
R000618,John P Ricketts,25,25,25,0,0,
W000802,Sheldon Whitehouse,20,20,19,1,1,JNJ
H000273,John W Hickenlooper,22,22,22,0,0,
B001236,John Boozman,12,12,12,0,0,
P000595,Gary C Peters,5,5,5,0,0,
S001203,Tina Smith,4,4,4,0,0,
K000383,"Angus S King, Jr.",4,4,4,0,0,
M000355,"A. Mitchell McConnell, Jr.",1,1,1,0,0,
R000608,Jacklyn S Rosen,1,1,0,1,1,GE
V000137,JD Vance,1,1,1,0,0,
C001035,Susan M Collins,1,1,1,0,0,
C000127,Maria Cantwell,1,1,1,0,0,
D000622,Ladda Tammy Duckworth,1,1,1,0,0,
T000476,Thomas R Tillis,1,1,1,0,0,
