bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
M001157,Michael T. McCaul,198,229,140,58,89,"ADT,AEF,AESC,ALBK,AOL,ATH_PE,BHGE,BKDT,BOTA,BRK_A,CAP,CARM,CIIG,CISC,CISS,CIVI,COLV,CONN,CRC,CSAL,DG1,DSCO,DSW,EASTW,ECPG,ELN,EMEX,EOAN,ERKA,FDC1,FIGS,FOX,GDRX,GGG,GMS,GNCMA,HCOM,HWAY,IAC,ICOR2,IMSC,ISHC,IXHL,KTO,LAES,LLY_WD,LMRK,LOLI,LRLSQ,MAMA,MDCA,MPET,MTCH1,MTW,MU,NATL,NBN,NCMV,NDRE,NYC,ONCO,OOM,OS,RATL,SBGI,SDOT,SNN,SPCBQ,SPG,SPOR,SPRI1,STAY,TFCF,TOO,TOR,TSC,TXN,UMC,UN,VABK,VFC,VRNG,VTEX,WB1,WCN,WDR,WE,WMB,WPZ"
K000389,Rohit Khanna,590,645,551,39,94,"1AMT_MI,ADNT,AFG,ATRN,AVB,AVGO,AYI,BCPC,BCS,BHGE,BURL,CCE,CEQP,CHRB,CNA,CNTY,COO,COTY,CPSH,CTS,DISCA,EDAC,ELN,EQR,ET_PC,FBHS,FI,FLS,FNV,FOX,FRC_PL,GOOG,HAS,HFWA,HLIT,HWAY,JAZZ,KMX,KORS,KT,LEN_B,LGF_A,LHX,LM,LMCA,LNCB,LOGM,MCD,MIAM,MRET,MSAI,NAIT,NBIX,NCR,NGM,OC,OLN,OMI,PE,PFG,PKG,PSTR,PTEST,RPM,SBUFQ,SCG,SEIC,SGNL,SHLX,SII,SMTX,SNHNI,SNV,SPOR,SQSP,SR,STHO,STZ_B,TSPT,UA,UFHI,VERX,VFP,VIAB,VLP,WBR,WDC,WES2,WLL,WWE,XOG,XRX,YNDX,ZG"
P000616,Dean Phillips,161,162,161,0,1,DUK PA
L000590,Susie Lee,161,161,161,0,0,
T000479,Nicholas Van Taylor,228,229,228,0,1,WFC
C001123,Gilbert Cisneros,201,202,201,0,1,CATY
G000583,Josh Gottheimer,149,149,149,0,0,
L000579,Alan S. Lowenthal,43,43,43,0,0,
F000462,Lois Frankel,83,83,83,0,0,
B001292,Donald Sternoff Beyer,42,42,42,0,0,
F000461,Bill Flores,79,79,79,0,0,
M001180,David B. McKinley,64,64,64,0,0,
C001062,K. Michael Conaway,47,47,47,0,0,
H001082,Kevin Hern,39,40,39,0,1,ROK
S001207,Mikie Sherrill,83,83,83,0,0,
L000559,James R. Langevin,14,14,14,0,0,
M001193,Thomas MacArthur,70,70,70,0,0,
F000468,Elizabeth Fletcher,46,46,46,0,0,
C001080,Judy Chu,1,1,1,0,0,
F000450,Virginia Foxx,28,28,28,0,0,
P000608,Scott H. Peters,1,1,1,0,0,
J000295,David P. Joyce,35,35,35,0,0,
C001101,Katherine M. Clark,27,26,26,1,0,
B000574,Earl Blumenauer,35,35,35,0,0,
S001190,Bradley S. Schneider,25,25,25,0,0,
L000397,Zoe Lofgren,13,13,13,0,0,
T000475,David A. Trott,13,12,12,1,0,
D000617,Suzan K. DelBene,2,2,2,0,0,
M001199,Brian Mast,17,17,17,0,0,
R000609,John Rutherford,26,26,26,0,0,
D000624,Debbie Dingell,19,20,19,0,1,UBSI
G000563,Bob Gibbs,18,18,18,0,0,
D000399,Lloyd Doggett,6,6,6,0,0,
Y000062,John A. Yarmuth,18,18,18,0,0,
B001274,Mo Brooks,4,3,3,1,0,
C001068,Steve Cohen,17,17,17,0,0,
W000804,Robert J. Wittman,14,14,14,0,0,
L000581,Brenda Lulenar Lawrence,15,15,15,0,0,
R000583,Thomas J. Rooney,9,9,9,0,0,
E000296,Dwight Evans,14,14,14,0,0,
S001213,Bryan George Steil,7,7,7,0,0,
B001286,Cheri Bustos,13,12,12,1,0,
P000593,Ed Perlmutter,10,10,10,0,0,
D000610,Theodore E. Deutch,0,2,0,0,2,"40055AY43,40056FN84"
P000523,David E. Price,7,7,7,0,0,
P000197,Nancy Pelosi,5,5,5,0,0,
D000598,Susan A. Davis,7,7,7,0,0,
S001199,Lloyd K. Smucker,3,3,3,0,0,
R000612,John W. Rose,8,8,8,0,0,
S000583,Lamar Smith,8,8,8,0,0,
C001103,Earl Leroy Carter,0,6,0,0,6,"07/01/28,07/01/36,12/01/37,DUE 08/01/25,DUE 10/01/37,DUE 7/01/20"
A000367,Justin Amash,5,5,5,0,0,
G000588,Anthony E. Gonzalez,3,3,3,0,0,
V000108,Peter J. Visclosky,6,6,6,0,0,
C001078,Gerald E. Connolly,2,2,2,0,0,
K000378,Adam Kinzinger,3,3,3,0,0,
C001066,Kathy Castor,3,3,3,0,0,
R000603,David Cheston Rouzer,3,3,3,0,0,
R000597,Tom Rice,3,3,3,0,0,
R000616,Harley E. Rouda,1,1,1,0,0,
S001189,Austin Scott,1,1,1,0,0,
S001216,Kim Schrier,1,1,1,0,0,
J000294,Hakeem S. Jeffries,1,1,1,0,0,
M001206,Joseph D. Morelle,2,2,2,0,0,
P000034,Frank Pallone,2,2,2,0,0,
B001294,Rodney Leland Blum,1,1,1,0,0,
C001105,Barbara J Honorable Comstock,1,1,1,0,0,
L000566,Robert E. Latta,1,1,1,0,0,
O000171,Tom O'Halleran,1,1,1,0,0,
R000598,Keith J. Rothfus,1,1,1,0,0,
S001214,W. Greg Steube,1,1,1,0,0,
W000797,Debbie Wasserman Schultz,1,1,1,0,0,
W000810,Rob Woodall,1,1,1,0,0,
