bioguide_id,name,docs,n_ocr,n_quiver,delta,verdict
K000389,Rohit Khanna,12,2815,2998,-183,concordant
M001157,Michael T. McCaul,10,2707,2128,579,ocr>=quiver
R000582,David P. Roe,11,743,0,743,quiver_sans_donnee
R000607,Francis Rooney,12,167,0,167,quiver_sans_donnee
K000376,Mike Kelly,7,166,0,166,quiver_sans_donnee
S001180,Kurt Schrader,8,146,0,146,quiver_sans_donnee
U000031,Fred Upton,9,82,0,82,quiver_sans_donnee
L000564,Doug Lamborn,7,74,0,74,quiver_sans_donnee
F000459,"Charles J. ""Chuck"" Fleischmann",8,66,0,66,quiver_sans_donnee
L000557,John B. Larson,9,34,0,34,quiver_sans_donnee
M001158,Kenny Marchant,5,21,0,21,quiver_sans_donnee
H001065,George Holding,4,17,0,17,quiver_sans_donnee
W000812,Ann Wagner,9,14,0,14,quiver_sans_donnee
Y000065,Ted S. Yoho,1,11,0,11,quiver_sans_donnee
K000379,Joseph P. Kennedy,6,11,0,11,quiver_sans_donnee
C001053,Tom Cole,2,8,0,8,quiver_sans_donnee
G000591,Michael Patrick Guest,2,7,0,7,quiver_sans_donnee
L000576,Billy Long,3,5,0,5,quiver_sans_donnee
K000392,David Kustoff,2,5,0,5,quiver_sans_donnee
S000244,F. James Sensenbrenner,2,3,0,3,quiver_sans_donnee
B001281,Joyce Beatty,2,2,0,2,quiver_sans_donnee
R000395,Harold Dallas Rogers,1,1,0,1,quiver_sans_donnee
S001150,Adam B. Schiff,1,1,0,1,quiver_sans_donnee
S001165,Albio Sires,1,1,0,1,quiver_sans_donnee
B001257,Gus M. Bilirakis,1,1,0,1,quiver_sans_donnee
A000374,Ralph Lee Abraham,1,1,0,1,quiver_sans_donnee
