bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
K000389,Rohit Khanna,495,533,450,45,83,"AAM_PA,ABVX,AFG,AL,ALLY,AMR1,AMRZ,BAC1,BCS,BEEM,BLL,BMO,BNP,BNS,BOTA,BRK_A,BT,CAE,CARM,CCE,CEC,CM,CMA,CMSD,DVMT,EIX,ELN,ENSG,ETHZ,ETW1,EXCU,FB,FCNCA,FTVW,GCVRZ,GEER,GOOG,HCKT,HSBA,IBE,IMSC,INVZ,INZ,IRE,JTAIW,KAL,LCII,LEN_B,LNC,MIAM,MODN,NEE,NI,NTEST,PAMT,PERC,PRAI,RCI,RPXC,RY,SACH_P_A,SEAL_PB,SIE,SNDK,SO,SOLSV,SOLV#,SQ,STEX,STRZA,TAK_W,TE1,TFF,THG,TOR,TSEM,TU,UCB,USAB,USBC1,VERX,WRB_PG,XP"
M001136,Lisa McClain,436,435,435,1,0,
M001157,Michael T. McCaul,137,208,115,22,93,"AAIN,ACPC,AIC1,ALE,ALYAF,AONC,AONE,APOS,ARKVX,ASBA,ATEST_A,AWRE,BEAV,BIAC,BIRT,BKDT,BNRE,CAE,CARM,CHERB,CISC,CISS,COLV,CONN,CVCI,CXAI,DTV1,EFAX1,EI,ENS,EOAN,ERKA,FB,FSR,GBNE,GE_W,GNCMA,GOOG,GRE,GS,HDNG,HUD,HW,ICNT,IDI,IHD,JASN1,JTAIW,KTO,LAWS,LBRDA,LENB_FAILED,LOLI,MAMA,MLOG,MPET,MSAI,MTCH1,NAIT,NCMV,ONCO,OSLE,PRAI,PRXI,PWRS,RC_P_D,RDS_A,RED,RH,SARAQ,SBMC,SCCE,SDLP,SDOT,SHEL,SII,SLND,SPOR,SRM,STRZA,TBL,TPUB,T_P_A,UAN,UPHN,UPLM,USBI,UST1,VRNG,VTEX,WASH,WAT,WE"
C001123,Gilbert Cisneros,307,307,307,0,0,
B001327,Rob Bresnahan,303,306,303,0,3,"IWM,QQQ,SPY"
S001229,Jefferson Shreve,254,254,254,0,0,
J000310,Julie Johnson,226,226,226,0,0,
G000583,Josh Gottheimer,185,185,185,0,0,
H001094,Valerie Hoyle,190,190,190,0,0,
G000596,Marjorie Taylor Greene,79,79,78,1,1,FIG
W000821,Bruce Westerman,98,98,98,0,0,
F000110,Cleo Fields,30,30,30,0,0,
M001236,Tim Moore,31,31,31,0,0,
B001325,Sheri Biggs,76,77,76,0,1,ICAPITAL
T000486,Ritchie John Torres,80,79,79,1,0,
M001232,April McClain Delaney,36,36,36,0,0,
D000032,Byron Donalds,39,39,39,0,0,
M001217,Jared Moskowitz,42,42,42,0,0,
F000472,Scott Scott Franklin,38,37,36,2,1,"WMT, SBUX, BRKB AND AAPL"
M001234,Kelly Louise Morrison,18,18,18,0,0,
T000490,David J. Taylor,28,28,28,0,0,
N000189,Dan Newhouse,62,62,62,0,0,
