bioguide_id,name,nous,quiver,delta,a_du_papier,verdict
M001193,Thomas MacArthur,759,427,332,False,nous_plus
G000584,Greg Gianforte,416,0,416,False,quiver_sans_donnee
G000583,Josh Gottheimer,301,293,8,True,nous_plus
P000609,Gary Palmer,259,260,-1,False,quiver_plus_a_revoir
L000579,Alan S. Lowenthal,239,185,54,False,nous_plus
C001062,K. Michael Conaway,206,125,81,False,nous_plus
F000461,Bill Flores,179,149,30,False,nous_plus
T000475,David A. Trott,173,36,137,False,nous_plus
C001107,Carlos Curbelo,148,137,11,False,nous_plus
R000609,John Rutherford,148,137,11,False,nous_plus
S000583,Lamar Smith,148,143,5,False,nous_plus
F000462,Lois Frankel,147,135,12,False,nous_plus
R000583,Thomas J. Rooney,147,98,49,False,nous_plus
M001198,Roger W. Marshall,109,0,109,False,quiver_sans_donnee
B000574,Earl Blumenauer,96,72,24,False,nous_plus
F000450,Virginia Foxx,93,85,8,False,nous_plus
C001080,Judy Chu,76,5,71,False,nous_plus
S000250,Pete Sessions,58,52,6,False,nous_plus
M000087,Carolyn B. Maloney,47,0,47,False,quiver_sans_donnee
D000617,Suzan K. DelBene,47,9,38,False,nous_plus
C001101,Katherine M. Clark,46,41,5,False,nous_plus
Y000062,John A. Yarmuth,45,42,3,False,nous_plus
P000608,Scott H. Peters,44,7,37,False,nous_plus
C001105,Barbara J Honorable Comstock,41,40,1,False,nous_plus
D000624,Debbie Dingell,40,33,7,False,nous_plus
L000559,James R. Langevin,36,29,7,False,nous_plus
S001190,Bradley S. Schneider,35,31,4,False,nous_plus
W000800,Peter Welch,32,0,32,True,quiver_sans_donnee
E000296,Dwight Evans,22,21,1,False,nous_plus
L000397,Zoe Lofgren,22,22,0,False,concordant
D000399,Lloyd Doggett,21,19,2,False,nous_plus
G000563,Bob Gibbs,21,20,1,False,nous_plus
B001274,Mo Brooks,21,16,5,False,nous_plus
B001260,Vern Buchanan,20,0,20,False,quiver_sans_donnee
B001303,Lisa Blunt Rochester,17,0,17,False,quiver_sans_donnee
P000197,Nancy Pelosi,17,16,1,False,nous_plus
C001068,Steve Cohen,16,4,12,False,nous_plus
P000523,David E. Price,13,10,3,False,nous_plus
L000554,Frank A. LoBiondo,11,9,2,False,nous_plus
A000367,Justin Amash,9,9,0,False,concordant
Y000063,Kevin Yoder,8,8,0,False,concordant
W000804,Robert J. Wittman,8,7,1,False,nous_plus
P000593,Ed Perlmutter,8,8,0,False,concordant
D000598,Susan A. Davis,8,8,0,False,concordant
R000591,Martha Roby,7,6,1,False,nous_plus
M001187,Mark R Meadows,7,7,0,False,concordant
S001175,Jackie Speier,7,7,0,False,concordant
M001180,David B. McKinley,6,6,0,False,concordant
R000608,Jacky Rosen,5,0,5,False,quiver_sans_donnee
K000387,Steve Knight,4,2,2,False,nous_plus
M001201,Paul Mitchell,4,4,0,False,concordant
M001202,Stephanie Murphy,4,4,0,False,concordant
J000294,Hakeem S. Jeffries,4,3,1,False,nous_plus
C001078,Gerald E. Connolly,4,4,0,False,concordant
B001284,Susan W. Brooks,3,0,3,False,quiver_sans_donnee
B001294,Rodney Leland Blum,3,3,0,False,concordant
D000600,Mario Diaz-Balart,3,3,0,False,concordant
M001199,Brian Mast,3,3,0,False,concordant
R000597,Tom Rice,2,2,0,False,concordant
D000626,Warren Davidson,2,2,0,False,concordant
C001103,Earl Leroy Carter,2,0,2,False,quiver_sans_donnee
B001297,Kenneth R. Buck,2,0,2,False,quiver_sans_donnee
N000147,Eleanor Holmes Norton,2,0,2,False,quiver_sans_donnee
B001286,Cheri Bustos,2,2,0,False,concordant
F000449,Jeff Fortenberry,1,0,1,False,quiver_sans_donnee
K000381,Derek Kilmer,1,1,0,False,concordant
P000611,Bruce L. Poliquin,1,0,1,False,quiver_sans_donnee
S000480,Louise McIntosh Slaughter,1,1,0,False,concordant
D000628,Neal P. Dunn,1,0,1,True,quiver_sans_donnee
R000570,Paul D. Ryan,1,1,0,False,concordant
W000797,Debbie Wasserman Schultz,1,1,0,False,concordant
W000809,Steve Womack,1,0,1,False,quiver_sans_donnee
M001157,Michael T. McCaul,0,3181,-3181,True,manquant_papier
K000389,Ro Khanna,0,3565,-3565,True,manquant_papier
