bioguide_id,name,nous,quiver,delta,a_du_papier,verdict
S001201,Thomas Suozzi,488,478,10,False,nous_plus
G000583,Josh Gottheimer,393,394,-1,False,quiver_plus_a_revoir
M001203,Tom Malinowski,390,327,63,False,nous_plus
L000590,Susie Lee,363,364,-1,False,quiver_plus_a_revoir
N000192,Marie Newman,299,289,10,False,nous_plus
M001186,Peter Meijer,266,261,5,False,nous_plus
G000590,Mark Dr Green,237,223,14,False,nous_plus
B001292,Donald Sternoff Honorable Beyer,203,109,94,False,nous_plus
H001082,Kevin Hern,190,178,12,False,nous_plus
F000246,Patrick Fallon,183,194,-11,False,quiver_plus_a_revoir
A000378,Cindy Axne,173,167,6,False,nous_plus
L000579,Alan S. Lowenthal,161,130,31,False,nous_plus
F000462,Lois Frankel,116,116,0,False,concordant
L000397,Zoe Lofgren,109,105,4,False,nous_plus
M001213,Blake Moore,107,107,0,False,concordant
G000596,Marjorie Taylor Greene,89,88,1,False,nous_plus
P000616,Dean Phillips,88,59,29,False,nous_plus
C001101,Katherine M. Clark,82,81,1,False,nous_plus
F000450,Virginia Foxx,80,80,0,False,concordant
L000559,James R. Langevin,71,71,0,False,concordant
C001114,John Curtis,68,0,68,False,quiver_sans_donnee
M001135,Kathy Manning,67,65,2,False,nous_plus
D000617,Suzan K. DelBene,66,9,57,False,nous_plus
K000375,William R. Keating,64,48,16,False,nous_plus
J000020,Christopher L. Jacobs,63,41,22,False,nous_plus
J000305,Sara Jacobs,62,52,10,False,nous_plus
C001123,Gilbert Cisneros,60,59,1,False,nous_plus
Y000062,John A. Yarmuth,54,44,10,False,nous_plus
B000574,Earl Blumenauer,53,29,24,False,nous_plus
S001189,Austin Scott,52,52,0,False,concordant
P000608,Scott H. Peters,40,0,40,False,quiver_sans_donnee
S000250,Pete Sessions,37,35,2,False,nous_plus
M001204,Daniel Meuser,36,36,0,False,concordant
A000372,Richard W. Allen,31,31,0,False,concordant
M001180,David B. McKinley,28,29,-1,False,quiver_plus_a_revoir
P000197,Nancy Pelosi,27,21,6,False,nous_plus
R000609,John Rutherford,26,24,2,False,nous_plus
B001299,James E Hon Banks,25,0,25,False,quiver_sans_donnee
W000804,Robert J. Wittman,24,24,0,False,concordant
S001216,Kim Dr Schrier,24,24,0,False,concordant
W000800,Peter Welch,22,0,22,False,quiver_sans_donnee
G000563,Bob Gibbs,21,21,0,False,concordant
S001148,Michael K. Simpson,20,19,1,False,nous_plus
D000399,Lloyd Doggett,20,20,0,False,concordant
M001199,Brian Mast,18,16,2,False,nous_plus
C001120,Daniel Crenshaw,17,17,0,False,concordant
B001274,Mo Brooks,17,13,4,False,nous_plus
J000295,David P. Joyce,17,14,3,False,nous_plus
C001066,Kathy Castor,16,13,3,False,nous_plus
D000624,Debbie Dingell,16,13,3,False,nous_plus
E000296,Dwight Evans,14,14,0,False,concordant
G000597,Andrew Garbarino,13,8,5,False,nous_plus
P000048,August Lee Pfluger,12,12,0,False,concordant
P000593,Ed Perlmutter,12,12,0,False,concordant
C001062,K. Michael Conaway,12,7,5,False,nous_plus
R000305,Deborah K. Ross,12,12,0,False,concordant
S000929,Victoria Spartz,11,8,3,False,nous_plus
C001078,Gerald E. Connolly,10,10,0,False,concordant
W000797,Debbie Wasserman Schultz,10,10,0,False,concordant
B001260,Vern Buchanan,9,0,9,False,quiver_sans_donnee
C001055,Ed Case,9,8,1,False,nous_plus
B001248,Michael C. Burgess,9,9,0,False,concordant
M001185,Sean Patrick Maloney,8,8,0,False,concordant
G000061,Michael Garcia,8,8,0,False,concordant
G000577,Garret Graves,7,7,0,False,concordant
D000628,"Neal Patrick MD, Facs Dunn",6,0,6,False,quiver_sans_donnee
M001212,Felix Barry Moore,6,1,5,False,nous_plus
G000551,Raúl M. Grijalva,6,4,2,False,nous_plus
M000087,Carolyn B. Maloney,6,0,6,False,quiver_sans_donnee
M001200,Aston Donald McEachin,6,6,0,False,concordant
J000294,Hakeem S. Jeffries,6,0,6,False,quiver_sans_donnee
D000626,Warren Davidson,5,5,0,False,concordant
R000603,David Cheston Rouzer,5,5,0,False,concordant
P000034,Frank Pallone,5,5,0,False,concordant
S001214,Greg Steube,4,4,0,False,concordant
G000588,Anthony E. Gonzalez,4,4,0,False,concordant
P000523,David E. Price,4,1,3,False,nous_plus
L000591,Elaine Luria,4,4,0,False,concordant
B001286,Cheri Bustos,3,3,0,False,concordant
S001207,Mikie Sherrill,3,3,0,False,concordant
H001038,Brian Higgins,3,3,0,False,concordant
S000185,"Robert C. ""Bobby"" Scott",2,2,0,False,concordant
M001196,Seth Moulton,2,0,2,False,quiver_sans_donnee
W000823,Michael Waltz,2,0,2,False,quiver_sans_donnee
F000472,Scott Franklin,2,8,-6,True,quiver_plus_papier
M001163,Doris O. Matsui,2,1,1,True,nous_plus
S001150,Adam B. Schiff,2,0,2,False,quiver_sans_donnee
G000591,Michael Patrick Guest,2,2,0,False,concordant
P000597,Chellie Pingree,2,0,2,False,quiver_sans_donnee
H001072,James French Hill,2,2,0,False,concordant
C001103,Earl Leroy Carter,2,0,2,False,quiver_sans_donnee
C001104,David Madison Cawthorn,1,1,0,False,concordant
B000740,Stephanie Bice,1,1,0,False,concordant
N000147,Eleanor Holmes Norton,1,0,1,False,quiver_sans_donnee
N000189,Dan Newhouse,1,1,0,False,concordant
D000600,Mario Diaz-Balart,1,0,1,False,quiver_sans_donnee
T000482,Lori Trahan,1,0,1,False,quiver_sans_donnee
M001156,Patrick T. McHenry,1,1,0,False,concordant
S001209,Abigail Spanberger,1,0,1,False,quiver_sans_donnee
C001068,Steve Cohen,1,1,0,False,concordant
M001210,Greg Francis Murphy,1,1,0,False,concordant
B001297,Kenneth R. Buck,1,1,0,False,concordant
G000579,Michael John Gallagher,1,1,0,False,concordant
B001275,Larry Bucshon,1,1,0,False,concordant
S001180,Kurt Schrader,0,55,-55,True,manquant_papier
