bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
M001193,Thomas MacArthur,428,428,428,0,0,
M001157,Michael T. McCaul,209,318,148,61,170,"AAON,ACC,ACM,ACTV1,ADBE,AEL,AFL,AGN1,AIDA1,AIG,ANSS,APCX,APH,APWC,APXI,AROC,ASAM1,ASW,ATER,AUMA,AVG,AVP,AXTA,AZTA,BAC,BAX,BETE,BHI,BIDU,BSVN,C,CAN,CARM,CCLN,CERN,CISS,CLEU,COST,CPA,CPHD,CRC,CRM,CRTO,CSAL,CTCT,DD1,DEST,DG1,DGX,DHOM,DNB1,DQ,DSCO,DVA,ECL,EDAC,EGN,EIR,EIS,ELN,ELPC,ELRC,ENERQ,EOAN,ERTS,ESRX,EVEX,EVRI,EXTN,FAST,FFKT,FLR,FSCI,FSS,FTI1,G,GCVRZ,GE_W,GLNG,GNTX,GOGO,GPC,GWW,HDB,HDNG,HPE,HSBA,IBDY,ICL,IMP,IMS,IMSC,INTU,INZ,ISHC,ISRG,JPM,KEN,KMI,KTO,L,LAES,LB1,LBTYA,LLTC,LNC,LTD,MA,MACM,MCDT,MDC,MHLD,MITY,MSM,MTB,MTU,NAIT,NATI,NATL,NBN,NDRE,NESC,NHLD,NKE,NMR,NP,NSC,NTEST,OCFT,ONON,ORIT,PG,PN,PRGO,PRI,PSTR,PYPL,RCL,RUK,SAGI,SARAQ,SBGI,SDOT,SHPG,SNV,SPY,SRCL,SSL,STZ_B,SUGP,SUI,SYK,SYRG,TASR,TCB,TDCX,THR,TMS,TROX,TSS,TUP,TWX,TXI,UN,UPS,VLRX1,VRSK,VTEX,WPX,WSH"
P000608,Scott H. Peters,62,63,62,0,1,APAGF
T000475,David A. Trott,20,20,20,0,0,
C001062,K. Michael Conaway,139,139,139,0,0,
S000583,Lamar Smith,72,72,72,0,0,
L000579,Alan S. Lowenthal,63,50,50,13,0,
H001051,Richard L. Hanna,65,65,65,0,0,
F000462,Lois Frankel,63,63,63,0,0,
D000617,Suzan K. DelBene,19,22,19,0,3,"B0T4J94,B1WSP14,BN7Q3G8"
H000636,Rubén Hinojosa,33,33,33,0,0,
S001148,Michael K. Simpson,27,26,26,1,0,
C001101,Katherine M. Clark,40,40,40,0,0,
F000450,Virginia Foxx,36,36,36,0,0,
F000461,Bill Flores,19,19,19,0,0,
M001180,David B. McKinley,43,43,43,0,0,
G000551,Raúl M. Grijalva,39,37,37,2,0,
S000250,Pete Sessions,42,42,42,0,0,
C001107,Carlos Curbelo,25,24,24,1,0,
W000413,Ed Whitfield,23,24,23,0,1,USB$N
W000804,Robert J. Wittman,37,37,37,0,0,
B001260,Vern Buchanan,0,1,0,0,1,CTFS PARTN
Y000062,John A. Yarmuth,20,21,20,0,1,USB$N
D000624,Debbie Dingell,17,14,14,3,0,
S001190,Bradley S. Schneider,13,5,5,8,0,
R000589,E. Scott Rigell,8,8,8,0,0,
N000182,Randy Neugebauer,7,7,7,0,0,
B000589,John A. Boehner,15,16,15,0,1,NYSE: COV
P000523,David E. Price,14,9,9,5,0,
W000797,Debbie Wasserman Schultz,3,3,3,0,0,
A000373,Brad Ashford,9,9,9,0,0,
B001269,Lou Barletta,12,12,12,0,0,
B000574,Earl Blumenauer,1,1,1,0,0,
C000266,Steve Chabot,15,15,15,0,0,
G000563,Bob Gibbs,13,13,13,0,0,
D000399,Lloyd Doggett,3,3,3,0,0,
C001066,Kathy Castor,7,3,3,4,0,
M000404,Jim McDermott,5,5,5,0,0,
M001182,Mick Mulvaney,7,7,7,0,0,
F000451,Michael G. Fitzpatrick,9,9,9,0,0,
P000197,Nancy Pelosi,3,3,3,0,0,
B001274,Mo Brooks,3,3,3,0,0,
C001068,Steve Cohen,4,4,4,0,0,
D000598,Susan A. Davis,8,8,8,0,0,
R000011,Nick J. Rahall,3,3,3,0,0,
G000535,Luis V. Gutierrez,1,1,1,0,0,
S000185,"Robert C. ""Bobby"" Scott",5,5,5,0,0,
C001103,Earl Leroy Carter,1,4,1,0,3,"DUE 04/01/27,DUE 07/01/27,DUE 12/01/27"
H001065,George Holding,2,2,2,0,0,
C001078,Gerald E. Connolly,1,1,1,0,0,
W000809,Steve Womack,0,1,0,0,1,FOR
Y000063,Kevin Yoder,3,3,3,0,0,
C000754,Jim Cooper,1,2,1,0,1,HOSPIC
L000559,James R. Langevin,1,1,1,0,0,
S000480,Louise McIntosh Slaughter,1,1,1,0,0,
B001286,Cheri Bustos,2,2,2,0,0,
C001105,Barbara J. Comstock,1,1,1,0,0,
R000599,Raul Ruiz,2,2,2,0,0,
L000397,Zoe Lofgren,1,1,1,0,0,
S001156,Linda T. Sanchez,1,1,0,1,1,RTNB
