bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
M001193,Thomas MacArthur,306,428,306,0,122,"ACN,AEL,AEXAY,AHONY,AKZOY,AMX,ARMH,ASML,ATI,AXL,BAYRY,BBVA,BITA,BMBLY,BNPQY,BNS,BZLFY,CBG,CFRUY,CHKP,CJREF,CMCSK,CMLP,CMPGY,CSTM,CTTAY,CVC,DBOEY,DISCA,DNHBY,DNZOY,DPSGY,EADSY,ERIC,ESRX,ETP,FANG,FANUY,FDML,FXB,FXC,GBOOY,GBTZY,GLPI,GOOG,GVDNY,HCMLY,HENOY,HIX,HLX,HMHC,HTHIY,HYG,HZNP,IEMG,IGT,IWP,JAZZ,JBAXY,JMHLY,KS,LH,LLL,LQD,LRLCY,MITEY,MITL,MJN,MMC,MWE,NRBAY,NTT,PAGP,PDRDY,PHG,PNC,POAHY,PTNR,PUK,RDSMY,RGA,RHHBY,RHP,SATS,SBGSY,SBMRY,SCGLY,SDXAY,SIG,SMCAY,SMFG,SMLP,SNPHY,SNY,SOMLY,SONVY,ST,SVNDY,SXE,SXT,TEL,TEVA,TMICY,TOO,TSM,TW,UBS,UE,UNH,UNRDY,UOVEY,UTHR,VEA,VLKPY,VOD,VOE,VOT,WAB,WMGI,WPPGY,WSM,YY"
M001157,Michael T. McCaul,207,318,146,61,172,"AAON,ACC,ACM,ACTV1,ADBE,AEL,AFL,AGN1,AIDA1,AIG,ANSS,APCX,APH,APWC,APXI,AROC,ASAM1,ASW,ATER,AUMA,AVG,AVP,AXTA,AZTA,BAC,BAX,BETE,BHI,BIDU,BRK_A,BSVN,C,CAN,CARM,CCLN,CERN,CISS,CLEU,COST,CPA,CPHD,CRC,CRM,CRTO,CSAL,CTCT,DD1,DEO,DEST,DG1,DGX,DHOM,DNB1,DQ,DSCO,DVA,ECL,EDAC,EGN,EIR,EIS,ELN,ELPC,ELRC,ENERQ,EOAN,ERTS,ESRX,EVEX,EVRI,EXTN,FAST,FFKT,FLR,FSCI,FSS,FTI1,G,GCVRZ,GE_W,GLNG,GNTX,GOGO,GPC,GWW,HDB,HDNG,HPE,HSBA,IBDY,ICL,IMP,IMS,IMSC,INTU,INZ,ISHC,ISRG,JPM,KEN,KMI,KTO,L,LAES,LB1,LBTYA,LLTC,LNC,LTD,MA,MACM,MCDT,MDC,MHLD,MITY,MSM,MTB,MTU,NAIT,NATI,NATL,NBN,NDRE,NESC,NHLD,NKE,NMR,NP,NSC,NTEST,OCFT,ONON,ORIT,PG,PN,PRGO,PRI,PSTR,PYPL,RCL,RUK,SAGI,SARAQ,SBGI,SDOT,SHPG,SNV,SPY,SRCL,SSL,STZ_B,SUGP,SUI,SYK,SYRG,TASR,TCB,TDCX,THR,TMS,TROX,TSS,TUP,TWX,TXI,UN,UPS,VLRX1,VRSK,VTEX,WPX,WSH"
P000608,Scott H. Peters,53,63,53,0,10,"ADS,APAGF,COF,EEI,ESRX,FIS,GOOG,MRK,TLSRP,UNH"
T000475,David A. Trott,4,20,4,0,16,"ACMP,AM,APL,CPPL,EQGP,EQM,ETE,GEL,NGL,NGLS,PSXP,RRMS,SXL,TLLP,VLP,WPZ"
C001062,K. Michael Conaway,73,139,73,0,66,"AA,AAPL,ABT,ACN,ADM,ADS,ANTM,APA,ASML,BABA,BMY,BXLT,CE,CELG,CIT,CMA,COF,CTSH,CVS,D,DHR,DLPH,ESRX,FCX,FOXA,GD,GE,GG,GM,GOOG,GSK,HOT,IBM,IDXX,IPG,JNJ,LH,LMT,LYB,MDLZ,MMC,NBL,NEE,NOC,NSC,PCP,PFE,PRGO,RDS_A,REGN,RL,RRC,SBUX,SHW,SLH,SPLK,SSL,SSYS,TEVA,TGT,ULTA,UN,UNH,UNP,VMW,WFC"
S000583,Lamar Smith,61,72,61,0,11,"ARMH,CTSH,GOOG,MJN,PRGO,PXD,SHPG,SLH,TDG,TW,WSM"
H001051,Richard L. Hanna,56,65,56,0,9,"ARCO,AUY,DISCA,ETN,MJN,PNRA,SNI,UNH,XLE"
L000579,Alan S. Lowenthal,47,50,41,6,9,"BIDU,HOT,IBM,SDLP,STWD,TEVA,TOO,UNH,WSH"
D000617,Suzan K. DelBene,14,22,14,0,8,"B0T4J94,B1WSP14,BN7Q3G8,CAFD,CSIQ,MIXT,WMS,WTS"
C001101,Katherine M. Clark,36,40,36,0,4,"LYB,MRK,OXY,PKG"
