bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
C001123,Gilbert Cisneros,302,302,302,0,0,
L000595,Julia Letlow,113,113,113,0,0,
M001232,April McClain Delaney,34,34,34,0,0,
T000490,David J. Taylor,28,28,28,0,0,
G000583,Josh Gottheimer,66,66,66,0,0,
J000310,Julie Johnson,61,61,61,0,0,
M001217,Jared Moskowitz,30,30,30,0,0,
B001325,Sheri Biggs,2,3,2,0,1,ICAPITAL
S000168,Maria Elvira Salazar,28,28,28,0,0,
J000309,Jonathan Jackson,24,24,24,0,0,
M001234,Kelly Louise Morrison,4,5,4,0,1,DBA AXIOM MATH
K000398,Thomas H. Kean,24,24,24,0,0,
D000032,Byron Donalds,14,15,14,0,1,CRYPTO:BTC
M001236,Tim Moore,12,12,12,0,0,
H001082,Kevin Hern,20,20,20,0,0,
A000372,Richard W. Allen,13,19,13,0,6,"91282CGH8,91282CGJ4,91282CJP7,91282CJR3,91282CLC3,91282CNG2"
F000110,Cleo Fields,13,13,13,0,0,
M001218,Richard Dean Dr McCormick,12,12,12,0,0,
N000189,Dan Newhouse,18,18,18,0,0,
L000560,Rick Larsen,15,16,15,0,1,WIDELY HELD
P000197,Nancy Pelosi,9,12,9,0,3,"INTC,TEM,UBER"
W000798,Tim Walberg,13,13,13,0,0,
C001068,Steve Cohen,8,6,6,2,0,
M001222,Max Miller,0,4,0,0,4,"GLA,GLAS FUNDS,GLAS FUNDS LP,GLAS FUNDS, LP"
V000139,Matthew Robert Van Epps,13,13,13,0,0,
B001291,Brian Babin,12,12,12,0,0,
D000399,Lloyd Doggett,6,6,6,0,0,
K000376,Mike Kelly,2,2,2,0,0,
F000468,Elizabeth Fletcher,11,11,11,0,0,
P000048,August Lee Pfluger,11,11,11,0,0,
S001201,Thomas Suozzi,4,4,4,0,0,
A000379,Mark Alford,6,6,6,0,0,
C001055,Ed Case,1,1,1,0,0,
M001239,John McGuire,6,6,6,0,0,
S001199,Lloyd K. Smucker,6,6,6,0,0,
M001245,Christian D. Menefee,2,3,2,0,1,RSUS
E000296,Dwight Evans,6,5,5,1,0,
D000624,Debbie Dingell,3,3,3,0,0,
F000450,Virginia Foxx,4,4,4,0,0,
M001204,Daniel Meuser,1,1,1,0,0,
G000591,Michael Patrick Guest,4,4,4,0,0,
H001072,James French Hill,4,4,4,0,0,
M001136,Lisa McClain,1,1,1,0,0,
W000816,Roger Williams,4,4,4,0,0,
A000148,Jake Auchincloss,1,1,1,0,0,
F000472,Scott Scott Franklin,1,1,1,0,0,
F000483,Laura Friedman,2,2,2,0,0,
L000566,Robert E. Latta,1,1,1,0,0,
R000614,Chip Roy,1,1,1,0,0,
J000305,Sara Jacobs,1,1,1,0,0,
R000603,David Rouzer,1,1,1,0,0,
S001185,Terri A. Sewell,2,2,2,0,0,
S001189,Austin Scott,2,2,2,0,0,
S001214,Greg Steube,1,2,1,0,1,571903BM4
B000668,Cliff Bentz,1,1,1,0,0,
D000626,Warren Davidson,1,1,1,0,0,
H001094,Valerie Hoyle,1,1,1,0,0,
J000289,James D Jordan,1,1,1,0,0,
J000298,Pramila Jayapal,1,1,1,0,0,
L000590,Susie Lee,1,1,1,0,0,
M001227,Jennifer McClellan,1,1,1,0,0,
S000250,Pete Sessions,1,1,1,0,0,
S001156,Linda T. Sanchez,1,1,1,0,0,
S001211,Greg Stanton,1,1,1,0,0,
W000806,Daniel Webster,1,1,1,0,0,
Y000067,Rudy C. Yakym,0,1,0,0,1,"3_MONTH, MATURE"
