scope,field,agreement_pct,n_pairs,note
digital,sense,95.7,1550,désaccords = artefact merge option-vs-action même jour (cf. AUDIT_SENAT.md)
digital,date_traded,99.4,1259,appariement sur Quiver Traded = vraie date de trade
digital,date_filed,0.5,1259,Filed ≠ date de trade → ne pas apparier dessus
digital,amount_bucket,93.2,1550,Quiver Trade_Size_USD = borne basse exacte de la fourchette
ocr,sense,,0,désaccords = artefact merge option-vs-action même jour (cf. AUDIT_SENAT.md)
ocr,date_traded,,0,appariement sur Quiver Traded = vraie date de trade
ocr,date_filed,,0,Filed ≠ date de trade → ne pas apparier dessus
ocr,amount_bucket,,0,Quiver Trade_Size_USD = borne basse exacte de la fourchette
both,sense,95.7,1551,désaccords = artefact merge option-vs-action même jour (cf. AUDIT_SENAT.md)
both,date_traded,99.4,1259,appariement sur Quiver Traded = vraie date de trade
both,date_filed,0.5,1259,Filed ≠ date de trade → ne pas apparier dessus
both,amount_bucket,93.2,1551,Quiver Trade_Size_USD = borne basse exacte de la fourchette
