bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
K000389,Rohit Khanna,622,666,579,43,87,"1AMT_MI,AABA,AFG,ANDV,AONE,ATRN,AUT,AZTA,BCPC,BEAS,BGEN,BGSF,CC,CCE,CHRB,CMCSK,CNTY,DAN,DATA,DISCA,DRE,EDAC,ELN,ESRX,ET_PC,EXPEA,FI,FLT,FNV,GLFD,GLG2,GRA,HFWA,HLIT,HOG,HPQ_W,IEX,IGAF,IHS,ISN,JEC,KORS,KT,LEN_B,LHX,LIN,LNCB,LSXMR,LTRPA,MIAM,NAIT,NOW,OMI,PE,PRS,PRXI,PW,RE,RJD,RL,RMP,RPM,SEIC,SEMG,SGNL,SINT1,SMTX,TCB,TDA,TE1,TFCF,TMCI1,TOR,UFHI,UHAL,URS,VAR,VERX,VIAB,VVC,WBR,WCN,WELL,WRB_PG,XOG,YNDX,ZG"
M001157,Michael T. McCaul,200,288,172,28,116,"AAIN,AEF,ALBK,ALIN_P_E,AOL,AONC,ASNS,AZTA,BGC,BHGE,BK,BLOC_U,BNZI,BRK_A,CADT,CARM,CERN,CION,CISC,CISS,CIXX,CLAR,CNG,CNSO,COLV,CONN,CRHC,CSAL,DG1,DHX,DOW,EASTW,EIS,ELLO,EMEX,EOAN,EXPD,FLA,GEER,GNCMA,GRE,GTX_W,GUA_CL,HBP,HCOM,HDNG,HLIO,HON,HWAY,IBDY,ICL,IILG,ISHC,KEN,LAES,LAWS,LEARQ,LINE,LMRK,LOLI,LRLSQ,LTRPB,LVLT,MDLG,MDLZ,MEAT,MFAN,MOCO,MPET,MVBF,NATL,NBN,NCMV,NDRE,NP,NTEST,OCI,OMC,ONCO,ONTY,OSLE,PDLB1,POT,PRIM,PW,QWST,RH,RL,SAGI,SDOT,SLB,SNN,SPCBQ,SPOR,SPRI1,SPY,STAY,SWK,TALX,TCN,TFCF,THX,TOR,TRIP,TSC,TX1,UN,UPHN,UPLM,VRNG,VTEX,WB1,WCLX,WCN,WE,WMB"
M001193,Thomas MacArthur,135,142,135,0,7,"DBOEY,IEF,KMTUY,LVNTA,OTSKY,RDSMY,RHHBY"
G000583,Josh Gottheimer,173,170,170,3,0,
P000609,Gary Palmer,106,106,106,0,0,
L000579,Alan S. Lowenthal,46,50,46,0,4,"DLPH,DPS,MRK,SIEGY"
C001062,K. Michael Conaway,52,56,52,0,4,"ACN,OXY,RDS_B,UNH"
T000475,David A. Trott,20,22,19,1,3,"AMGP,CASH,INVESTMEN"
R000609,John Rutherford,108,108,108,0,0,
S000583,Lamar Smith,77,78,76,1,2,"LGND,ONE SHARE FOR ONE SHARE"
F000461,Bill Flores,37,52,37,0,15,"AAPL,ADP,CL,EMR,INTC,JNJ,LMT,MA,MCD,MO,PM,TJX,TPR,UPS,XOM"
C001107,Carlos Curbelo,85,87,85,0,2,"ESV,HTZ"
R000583,Thomas J. Rooney,46,50,46,0,4,"ACN,CBG,CE,UNH"
F000462,Lois Frankel,69,74,69,0,5,"APC,COL,COTY,OA,SLB"
B000574,Earl Blumenauer,48,49,48,0,1,SIEGY
C001080,Judy Chu,5,5,5,0,0,
F000450,Virginia Foxx,24,37,24,0,13,"APTS,IP,IWM,JNJ,ONEQ,ORI,PEP,PFE,PG,SCHA,SCHX,SDOG,WDC"
S000250,Pete Sessions,46,43,43,3,0,
D000617,Suzan K. DelBene,1,1,1,0,0,
C001101,Katherine M. Clark,21,22,21,0,1,PXD
P000608,Scott H. Peters,1,1,1,0,0,
Y000062,John A. Yarmuth,33,35,31,2,4,"AGN,DIS,SHW,UTX"
D000624,Debbie Dingell,27,28,26,1,2,"AFT,WPX"
S001190,Bradley S. Schneider,20,20,20,0,0,
C001105,Barbara J Honorable Comstock,21,26,21,0,5,"ALNY,HPE,UA,VFH,VO"
L000559,James R. Langevin,5,5,5,0,0,
E000296,Dwight Evans,19,20,19,0,1,MSFT
L000397,Zoe Lofgren,22,22,22,0,0,
G000563,Bob Gibbs,13,13,13,0,0,
D000399,Lloyd Doggett,5,5,5,0,0,
B001274,Mo Brooks,4,5,4,0,1,TCX
C001068,Steve Cohen,4,4,4,0,0,
P000197,Nancy Pelosi,5,6,5,0,1,V
P000523,David E. Price,8,9,8,0,1,GE
L000554,Frank A. LoBiondo,6,6,6,0,0,
A000367,Justin Amash,5,5,5,0,0,
D000598,Susan A. Davis,8,8,8,0,0,
W000804,Robert J. Wittman,7,7,7,0,0,
Y000063,Kevin Yoder,8,8,8,0,0,
M001187,Mark R Meadows,7,7,7,0,0,
P000593,Ed Perlmutter,7,8,7,0,1,HCP
R000591,Martha Roby,6,6,6,0,0,
S001175,Jackie Speier,7,7,7,0,0,
M001180,David B. McKinley,6,6,6,0,0,
C001078,Gerald E. Connolly,1,1,1,0,0,
J000294,Hakeem S. Jeffries,2,3,2,0,1,NORTHWESTER
M001201,Paul Mitchell,4,4,4,0,0,
M001202,Stephanie Murphy,3,3,3,0,0,
B001294,Rodney Leland Blum,3,3,3,0,0,
D000600,Mario Diaz-Balart,3,3,3,0,0,
K000387,Steve Knight,1,1,1,0,0,
M001199,Brian Mast,3,3,3,0,0,
B001286,Cheri Bustos,1,1,1,0,0,
D000626,Warren Davidson,2,2,2,0,0,
R000597,Tom Rice,2,2,2,0,0,
K000381,Derek Kilmer,1,1,1,0,0,
R000570,Paul D. Ryan,1,1,1,0,0,
S000480,Louise McIntosh Slaughter,1,1,1,0,0,
W000797,Debbie Wasserman Schultz,1,1,1,0,0,
