bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
K000389,Rohit Khanna,688,684,595,93,89,"AAM_PA,AAON,ABVT,ACGL,AFG,ALLG,ANFI1,AONC,APLT,ASFI,ATS,AVLR,AYRO,BAC1,BAMH,BF_A,BGSF,BLL,BN,BRK_B,CAE,CARM,CATO,CHRB,CISS,CLB,COHM,COLV,CSTAF,CUL,DJO,DVMT,ELN,ELOT,ETW1,FCNCA,FEIC,FI,FIGS,FRC_PL,FTCH,FTD,GEER,GOOG,HRTX,HTFC,HWAY,IACI,JMU,KAL,KTO,KVCO,LEARQ,LLY_WD,LMCA,LNCB,LSXMR,MCON,MIAM,MJCO,MPET,MSG,NAIT,NDZ,NNBR,OMG,ONCO,PETQ,PPL,RE,RH,SACC,SCG,SDOT,STHO,SYMC,TBIG,TE1,TISI,UPHN,UPLM,VERX,VOYA,VRNG,VSAT,WYN,YNDX,ZEN,ZG"
M001157,Michael T. McCaul,174,220,153,21,67,"AAIN,AEF,ALE,ALTE,APOS,ASTM,BKDT,BNRE,CARM,CIIG,CISC,COLV,CONN,CSAL,CSAN,ECHO,EIS,EKO,ELLO,ELN,EOAN,EOLS,EXPD,FSCI,GBNE,GM_WSA,HDNG,HHH,IACI,IBDY,JASN1,KOMN,LANC,LNCB,LOLI,MAMA,MEAT,METCL,MOBX,MPET,NCMV,NMT,NPO,NUE,ONCO,PEI,PWRS,QWST,R,RDS_A,RH,SARAQ,SBMC,SDOT,SEIC,SELX,SNN,SPOR,TX1,UN,VIAC,VRNG,WAFD,WASH,WAVC,WB1,WE"
H001086,Diana Harshbarger,131,117,103,28,14,"ACC,ARVLF,GM_WSA,GOOG,JTAIW,KTF,META,NOAH,NUAN1,ONCO,RE,SHCR,SYMC,TOR"
M001135,Kathy Manning,155,157,155,0,2,"FUND 2,FUND 2 LTH"
G000583,Josh Gottheimer,149,149,149,0,0,
F000450,Virginia Foxx,70,77,70,0,7,"AAIC$B,AAM$A,DUK$A,NEE$Q,T$A,T+A,U 3%25CD"
S001201,Thomas Suozzi,94,65,64,30,1,ALPP
J000020,Christopher L. Jacobs,83,83,83,0,0,
S001180,Kurt Schrader,80,51,37,43,14,"BBN,CSAL,HCAR,HPE,IBDY,IMCB,ISHC,PMF,RCS,SARAQ,SPOR,TAAL,VRNG,WB1"
F000462,Lois Frankel,79,79,79,0,0,
F000246,Patrick Fallon,21,2,2,19,0,
L000559,James R. Langevin,13,13,13,0,0,
L000579,Alan S. Lowenthal,32,31,31,1,0,
B000574,Earl Blumenauer,51,51,51,0,0,
H001082,Kevin Hern,43,43,43,0,0,
R000609,John Rutherford,97,97,97,0,0,
B001292,Donald Sternoff Beyer,54,54,54,0,0,
W000804,Robert J. Wittman,44,44,44,0,0,
L000590,Susie Lee,73,71,71,2,0,
D000617,Suzan K. DelBene,1,1,1,0,0,
F000459,"Charles J. ""Chuck"" Fleischmann",40,4,0,40,4,"ARMK,CTEST_O,ERTS,NDRE"
G000590,Mark Dr Green,14,14,14,0,0,
L000564,Doug Lamborn,1,4,1,0,3,"NN,NRDY,TNOX"
F000472,Scott Franklin,25,19,18,7,1,IVZ
S000250,Pete Sessions,30,31,30,0,1,CARR
A000378,Cindy Axne,14,14,14,0,0,
M001205,Carol Devine Miller,36,36,36,0,0,
B001248,Michael C. Burgess,7,7,7,0,0,
P000197,Nancy Pelosi,12,12,12,0,0,
G000596,Marjorie Taylor Greene,22,22,22,0,0,
D000399,Lloyd Doggett,6,6,6,0,0,
K000375,William R. Keating,10,10,10,0,0,
L000397,Zoe Lofgren,14,15,14,0,1,CORPORAT
W000797,Debbie Wasserman Schultz,7,6,6,1,0,
E000296,Dwight Evans,18,18,18,0,0,
M001180,David B. McKinley,17,17,17,0,0,
H001074,Trey Hollingsworth,0,1,0,0,1,ORCC
P000593,Ed Perlmutter,10,10,10,0,0,
M001199,Brian Mast,8,6,6,2,0,
C001120,Daniel Crenshaw,13,13,13,0,0,
M001186,Peter Meijer,15,15,15,0,0,
E000298,Ron Estes,6,6,6,0,0,
C001068,Steve Cohen,9,10,9,0,1,MS$P
G000563,Bob Gibbs,10,10,10,0,0,
B001274,Mo Brooks,3,2,2,1,0,
R000305,Deborah K. Ross,8,8,8,0,0,
S000344,Brad Sherman,0,1,0,0,1,TREASURY INFLATIO
N000192,Marie Newman,5,5,5,0,0,
T000479,Nicholas V. Taylor,10,10,10,0,0,
G000591,Michael Patrick Guest,2,2,2,0,0,
S000185,"Robert C. ""Bobby"" Scott",9,9,9,0,0,
S001190,Bradley S. Schneider,2,2,2,0,0,
A000372,Richard W. Allen,4,4,4,0,0,
S000929,Victoria Spartz,1,1,1,0,0,
S001205,Mary Gay Scanlon,6,6,6,0,0,
D000624,Debbie Dingell,3,3,3,0,0,
G000061,Michael Garcia,3,3,3,0,0,
P000048,August Lee Pfluger,3,3,3,0,0,
S001214,Greg Steube,1,1,1,0,0,
G000559,John Garamendi,4,4,4,0,0,
P000523,David E. Price,2,2,2,0,0,
S000168,Maria Elvira Salazar,1,1,1,0,0,
S001216,Kim Dr Schrier,2,2,2,0,0,
C001078,Gerald E. Connolly,3,3,3,0,0,
J000295,David P. Joyce,3,3,3,0,0,
K000392,David Kustoff,3,2,2,1,0,
M001204,Daniel Meuser,1,1,1,0,0,
M001213,Blake Moore,2,2,2,0,0,
A000055,Robert B. Aderholt,2,2,2,0,0,
C001069,Joe Courtney,2,2,2,0,0,
G000597,Andrew Garbarino,2,2,2,0,0,
L000566,Robert E. Latta,1,1,1,0,0,
R000612,John W. Rose,1,1,1,0,0,
S001207,Mikie Sherrill,1,1,1,0,0,
C001080,Judy Chu,1,1,1,0,0,
G000577,Garret Graves,1,1,1,0,0,
G000588,Anthony E. Gonzalez,1,1,1,0,0,
L000273,Teresa Leger Fernandez,1,1,1,0,0,
P000096,Bill Pascrell,1,1,1,0,0,
R000603,David Cheston Rouzer,1,1,1,0,0,
R000606,Jamie Raskin,1,1,1,0,0,
S001209,Abigail Spanberger,1,1,1,0,0,
T000482,Lori Trahan,1,1,1,0,0,
Y000067,Rudy Yakym,0,1,0,0,1,6_MONTH
