bioguide,name,nous,quiver,delta,no_ticker,ocr,verdict
P000612,"David A Perdue , Jr",474,217,257,139,0,nous_plus
W000802,Sheldon Whitehouse,185,85,100,4,0,nous_plus
C001035,Susan M Collins,143,19,124,9,0,nous_plus
C000174,Thomas R Carper,108,30,78,78,0,nous_plus
T000476,Thomas R Tillis,94,94,0,0,0,concordant
T000461,Patrick J Toomey,66,31,35,4,0,nous_plus
R000307,Pat Roberts,63,43,20,7,0,nous_plus
I000024,James M Inhofe,45,38,7,0,0,nous_plus
P000595,Gary C Peters,28,15,13,13,0,nous_plus
H001061,John Hoeven,24,12,12,6,0,nous_plus
R000122,John F Reed,24,19,5,0,0,nous_plus
A000360,Lamar Alexander,14,0,14,14,0,quiver_sans_donnee
K000383,"Angus S King, Jr.",11,0,11,11,0,quiver_sans_donnee
S001141,"Jefferson B Sessions, III",8,0,8,8,0,quiver_sans_donnee
C001075,William Cassidy,5,9,-4,1,0,quiver_plus_a_verifier
M001183,"Joseph Manchin, III",5,0,5,5,0,quiver_sans_donnee
C001047,Shelley M Capito,4,1,3,3,0,nous_plus
E000285,Michael  B Enzi,4,0,4,4,0,quiver_sans_donnee
B000575,Roy Blunt,3,0,3,1,0,quiver_sans_donnee
C001098,Rafael E Cruz,3,1,2,2,0,nous_plus
W000437,Roger F Wicker,3,0,3,3,0,quiver_sans_donnee
C000141,Benjamin L Cardin,2,0,2,2,0,quiver_sans_donnee
C001056,John Cornyn,1,1,0,0,0,concordant
C000567,Thad Cochran,0,98,-98,0,0,quiver_seul
C001071,Robert P Corker Jr,0,10,-10,0,0,quiver_seul
D000622,Tammy Duckworth,0,7,-7,0,0,quiver_seul
F000444,Jeffry Flake,0,5,-5,0,0,quiver_seul
