scope,field,agreement_pct,n_pairs,note
digital,sense,98.0,1005,désaccords = artefact merge option-vs-action même jour (cf. AUDIT_SENAT.md)
digital,date_traded,99.2,888,appariement sur Quiver Traded = vraie date de trade
digital,date_filed,0.9,888,Filed ≠ date de trade → ne pas apparier dessus
digital,amount_bucket,97.0,1005,Quiver Trade_Size_USD = borne basse exacte de la fourchette
ocr,sense,,0,désaccords = artefact merge option-vs-action même jour (cf. AUDIT_SENAT.md)
ocr,date_traded,,0,appariement sur Quiver Traded = vraie date de trade
ocr,date_filed,,0,Filed ≠ date de trade → ne pas apparier dessus
ocr,amount_bucket,,0,Quiver Trade_Size_USD = borne basse exacte de la fourchette
both,sense,98.0,1005,désaccords = artefact merge option-vs-action même jour (cf. AUDIT_SENAT.md)
both,date_traded,99.2,888,appariement sur Quiver Traded = vraie date de trade
both,date_filed,0.9,888,Filed ≠ date de trade → ne pas apparier dessus
both,amount_bucket,97.0,1005,Quiver Trade_Size_USD = borne basse exacte de la fourchette
