bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
M001157,Michael T. McCaul,318,389,248,70,141,"AAIN,ACC,ACTV1,ADT1,AEF,AGN1,AGS,AIDA1,ALCO,ALTR1,AMD,AMH1,AMKR,ANR,ANRO,ANTE,AONC,APCX,ASNS,ATHL,ATW,AUMA,AVP,AXR,AZTA,BCML,BRK_A,BT,BZH,CAAP,CAJ,CAN,CARM,CAUD,CION,CISS,CRHC,CRVO,CTCT,DCBO,DD1,DEST,DG1,DGI,DHOM,DNB1,DST,EDAC,EFTD,EIS,ELA,ELN,ELNK,ENERQ,ERA,ERKA,EURO,EVRI,FES,FFKT,FSCI,FTI1,GE_W,GLNG,GOGO,HACH,HDNG,HFWA,HPE,HSKA,HTEI,INTU,INZ,IXHL,JET,KEN,KMB_W,KMX,LAES,LOLI,MARK,MCDT,MCP,MEAS,MITY,MJN,MPET,MR1,MRD,MXA,NABL,NAIT,NATL,NDRE,NESC,NKE,NOG,NP,NST,NUAN,NUE,NVEC,ONCO,PDLI,PLI1,PSEC,PTMK,PVH,RBZ,RGIDQ,RSH,RUK,SARAQ,SBIG,SHO_P_I,SHPG,SPH,SPOR,SPRI1,STHO,STNLW,STZ_B,SYRG,TASR,TCB,THX,TMH,TPTA,TROX,TTM_R,TWX,TX1,UCIA,UHR,UN,UNCA,UNTD1,USG,VFC,VTOL,VXRT"
S001190,Bradley S. Schneider,160,6,3,157,3,"BABA,CBI,HGH"
C001101,Katherine M. Clark,62,68,62,0,6,"ACN,ETN,IBM,LYB,MRK,PNC"
H001051,Richard L. Hanna,53,68,53,0,15,"AUY,CTSH,DISCA,ESRX,ETN,OXY,PNC,PNRA,POT,RYAM,SCZ,SNI,SNY,UNH,VWO"
S000583,Lamar Smith,64,76,64,0,12,"CAM,CTSH,FBHS,MJN,NSR,PRGO,TDG,TMH,TW,VCLT,WAGE,WSM"
F000462,Lois Frankel,98,130,77,21,53,"AGU,ALLE,BDN,BG,BHP,BIIB,CB,CCJ,CIT,CLB,CLX,COV,CP,CVX,DBD,DEO,DFS,DHR,DIS,DLPH,DOX,ESV,FB,FLS,GNC,GNW,HD,IBM,IR,KSU,LBRDK,LMCK,MCK,MTB,NBR,NE,NEE,NMR,NVS,NXPI,PFE,PRE,PRLB,RIO,RTN,SON,SU,TDS,TKR,UBS,UN,WDAY,WFC"
F000461,Bill Flores,44,66,44,0,22,"ACN,BBEP,BMY,CDK,CVX,DD,EPD,FEI,GMLP,IBM,MIE,NGL,NML,OGS,PFE,PG,RDS_A,SDLP,SEMG,STX,TRGP,VZ"
D000617,Suzan K. DelBene,28,42,25,3,17,"4491235,4824778,5522714,6320058,6897143,B0T4J94,B13WZ26,B5NC0D0,BN7Q3G8,CBI,CSIQ,FLTX,HASI,MIXT,NES,OSRN DE,WTS"
P000608,Scott H. Peters,6,2,1,5,1,MLPN
C001062,K. Michael Conaway,31,70,31,0,39,"AON,ASML,AZN,BA,BABA,BIIB,BUD,CCI,COP,DLPH,EBAY,EW,FDX,GOOG,HOT,IBM,INTC,JNJ,KMI,KO,KORS,KRFT,LH,LMT,LYB,MON,MSFT,NLSN,NWL,OXY,PEG,PM,PPG,PRGO,TAP,TEVA,UNP,WFM,WMT"
W000413,Ed Whitfield,29,28,16,13,12,"AEM,CBI,DISCK,IEMG,LBTYA,LLTI,SJT,USB$N,VODPD,VOO,VXUS,VZ"
L000579,Alan S. Lowenthal,23,30,23,0,7,"CMCSK,DLPH,EP$C,GOOG,NMFC,SWAY,TEVA"
S001148,Michael K. Simpson,12,32,12,0,20,"AETUF,AOZOY,ASBRF,AZNCF,CEMCF,CHLKF,CPE$A,ERIC,FOEAF,GARPF,MLYNF,MTAGF,NCMGF,NSRGY,NZTCF,OGFGF,RDS_A,SNGNF,WOLWF,YRAIF"
D000355,John D. Dingell,22,7,7,15,0,
H000636,Rubén Hinojosa,13,25,13,0,12,"AOS,BA,BIDU,CSCO,ERIE,FFG,MCD,MMM,SPHQ,TM,UHAL,XOM"
G000551,Raúl M. Grijalva,24,38,22,2,16,"AXP,BTO,CMLP,CTY,DD,DE,GLW,HQL,HR,IBM,JDD,MMM,PEP,SYK,TEX,WMB"
Y000063,Kevin Yoder,18,6,5,13,1,OKS
F000450,Virginia Foxx,13,23,11,2,12,"BWX,COP,PBI,PHB,PWE,RNDY,SCHA,SCHE,SCHF,SCHX,SCHZ,T"
R000011,Nick J. Rahall,14,24,14,0,10,"AMGN,C,CE,CG,CNQ,GE,HLF,MTZ,OTTR,WFC"
F000451,Michael G. Fitzpatrick,15,22,15,0,7,"BCE,CMS,DLR,IVW,PM,VTR,XLU"
M001180,David B. McKinley,20,18,18,2,0,
G000563,Bob Gibbs,12,14,12,0,2,"TEG,TMST"
B000589,John A. Boehner,15,19,15,0,4,"CAH,DO,MRK,WMT"
M000404,Jim McDermott,1,1,1,0,0,
N000182,Randy Neugebauer,2,2,2,0,0,
M000725,George Miller,6,2,1,5,1,VOD
O000169,William L. Owens,8,28,8,0,20,"AVA,BAC,BMO,DUK,FUR,GRPN,INTC,JLL,JNJ,KMB,MO,PEP,SGEN,SO,SYY,T,TWC,UFI,VZ,XON"
O000170,Beto O'Rourke,9,11,9,0,2,"DPM,IYG"
B001274,Mo Brooks,3,4,3,0,1,MWO
G000535,Luis V. Gutierrez,3,1,1,2,0,
P000523,David E. Price,7,11,7,0,4,"JOSB,MMP,MSI,VRX"
D000399,Lloyd Doggett,2,2,2,0,0,
B000574,Earl Blumenauer,1,2,1,0,1,PART INTEREST
P000197,Nancy Pelosi,3,12,3,0,9,"AA,BCOR,BRCM,DOW,ELX,ENTR,MGRC,RHI,SFLY"
C001066,Kathy Castor,4,4,4,0,0,
M001182,Mick Mulvaney,4,9,4,0,5,"CDE,CEF,IDU,IHI,NEM"
C001046,Eric Cantor,3,10,3,0,7,"CPHD,DIS,MRH,MSB,SLB,STI,WY"
C001078,Gerald E. Connolly,1,1,1,0,0,
S000480,Louise McIntosh Slaughter,1,1,1,0,0,
S001189,Austin Scott,2,2,2,0,0,
B001269,Lou Barletta,2,4,2,0,2,"DNKN,GIMO"
F000030,Sam Farr,1,1,1,0,0,
Y000062,John A. Yarmuth,2,7,2,0,5,"CAT,CMCSA,USB$N,VNQ,YUM"
B001248,Michael C. Burgess,1,6,1,0,5,"GE,MSFT,PFE,UPS,VZ"
D000598,Susan A. Davis,1,1,1,0,0,
L000559,James R. Langevin,1,3,0,1,3,"ALXN,CSX,FB"
M001188,Grace Meng,1,2,1,0,1,3%
R000570,Paul Ryan,1,1,1,0,0,
W000815,Brad R. Wenstrup,1,1,1,0,0,
