bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
K000389,Rohit Khanna,616,332,294,322,38,"AAON,AMDA,ATRN,BEAS,BGSF,BRK_A,CARM,CBS,CFX,CHRB,CSAL,DISCA,EGIO,EYE1,FNFN,FRC_PL,GNCMA,HRTX,KEX,LLY_WD,LNCB,META,NDRE,NGAU,PDEX,PJAM,RE,RP,SACM,SCHW_PJ,SPOR,SYMC,TJX,UA,VERX,VSAT,W,ZENV"
H001086,Diana Harshbarger,145,30,26,119,4,"ARVLF,GOOG,NUAN,STZ_B"
M001157,Michael T. McCaul,132,214,116,16,98,"ABT,AEF,AIT,ARW,AUROW,BAC,BDX,BHGE,BKDT,BRC,BRKR,BRK_A,CARM,CBRG,CBS,CDK,CIIG,CISC,CISS,CLRCW,CNTY,COLV,CRC,CSAN,CUL,DCI,DG1,DGX,DSCO,EIS,ELLO,ELN,EMEX,EMF,ERKA,FI,FLS,GEER,HDNG,HDS,HHH,HII,HXL,IBDY,ICNT,IMSC,IPG,ISHC,JPM,KEN,KR,KRON,KTO,KW,LAES,LANC,LEARQ,LLY_WD,LTRPB,LYB,MAS,MEAT,MFCB1,NBN,NCMV,NPO,NTEST,NYC,OMC,OPRA,PPG,PWRS,QWST,RH,SABR,SDOT,SLB,SLND,SNN,SONC,SPOR,STAR,THX,TRIP,TX1,TXN,UN,UPLM,UST1,VAST,VRNG,WB1,WCLX,WCN,WE,WTM,WWD,ZION"
S001201,Thomas Suozzi,169,169,169,0,0,
G000583,Josh Gottheimer,170,170,170,0,0,
M001203,Tom Malinowski,88,88,88,0,0,
L000590,Susie Lee,155,155,154,1,1,NASDAQ
N000192,Marie Newman,60,60,60,0,0,
M001186,Peter Meijer,206,207,206,0,1,BAX
G000590,Mark Dr Green,28,28,28,0,0,
B001292,Donald Sternoff Honorable Beyer,49,49,49,0,0,
H001082,Kevin Hern,77,77,77,0,0,
S001180,Kurt Schrader,79,34,26,53,8,"AXAC,BDT,EGGF,FB,GOOG,IBDY,KLXY,TAAL"
F000246,Patrick Fallon,23,23,23,0,0,
A000378,Cindy Axne,42,42,42,0,0,
L000579,Alan S. Lowenthal,31,31,31,0,0,
F000462,Lois Frankel,58,58,58,0,0,
L000397,Zoe Lofgren,74,74,73,1,1,BELGIUM
M001213,Blake Moore,21,21,21,0,0,
G000596,Marjorie Taylor Greene,56,56,56,0,0,
P000616,Dean Phillips,44,44,44,0,0,
C001101,Katherine M. Clark,34,34,34,0,0,
F000450,Virginia Foxx,21,21,21,0,0,
L000564,Doug Lamborn,1,5,1,0,4,"INTA,NN,NTBKQ,TISI"
L000559,James R. Langevin,10,10,10,0,0,
M001135,Kathy Manning,37,37,37,0,0,
D000617,Suzan K. DelBene,2,2,2,0,0,
K000375,William R. Keating,40,40,40,0,0,
J000020,Christopher L. Jacobs,38,38,38,0,0,
J000305,Sara Jacobs,47,47,47,0,0,
C001123,Gilbert Cisneros,50,50,50,0,0,
Y000062,John A. Yarmuth,45,41,41,4,0,
B000574,Earl Blumenauer,16,17,16,0,1,PART INTEREST
S001189,Austin Scott,12,12,12,0,0,
F000459,"Charles J. ""Chuck"" Fleischmann",34,5,0,34,5,"BEEM,CTEST_O,ERTS,MTBL,SPOR"
H001074,Trey Hollingsworth,1,2,1,0,1,MMP
S000250,Pete Sessions,23,22,22,1,0,
M001204,Daniel Meuser,12,12,12,0,0,
A000372,Richard W. Allen,22,22,22,0,0,
M001180,David B. McKinley,20,21,20,0,1,ORLY
P000197,Nancy Pelosi,13,13,11,2,2,"MONTGOMERY, AL _2, SCHAUMBERG, IL _1,RBLX"
R000609,John Rutherford,25,23,23,2,0,
S001216,Kim Dr Schrier,22,22,22,0,0,
W000804,Robert J. Wittman,20,20,20,0,0,
F000472,Scott Franklin,5,4,4,1,0,
G000563,Bob Gibbs,16,16,16,0,0,
D000399,Lloyd Doggett,5,5,5,0,0,
S001148,Michael K. Simpson,19,19,19,0,0,
M001199,Brian Mast,7,7,7,0,0,
B001274,Mo Brooks,9,9,9,0,0,
C001120,Daniel Crenshaw,9,9,9,0,0,
J000295,David P. Joyce,10,10,10,0,0,
C001066,Kathy Castor,1,1,1,0,0,
D000624,Debbie Dingell,11,11,11,0,0,
R000395,Harold Dallas Rogers,4,2,0,4,2,"BLD,NMFS"
E000296,Dwight Evans,14,14,14,0,0,
G000597,Andrew Garbarino,6,6,6,0,0,
H001091,Ashley Hinson Arenholz,10,11,10,0,1,D/B/A ELLIOTT
M001163,Doris O. Matsui,2,1,1,1,0,
C001062,K. Michael Conaway,4,4,4,0,0,
P000048,August Lee Pfluger,7,7,7,0,0,
P000593,Ed Perlmutter,7,7,7,0,0,
R000305,Deborah K. Ross,12,12,12,0,0,
S000929,Victoria Spartz,3,3,3,0,0,
C001078,Gerald E. Connolly,3,3,3,0,0,
W000797,Debbie Wasserman Schultz,3,3,3,0,0,
B001248,Michael C. Burgess,5,5,5,0,0,
C001055,Ed Case,7,7,7,0,0,
G000061,Michael Garcia,4,4,4,0,0,
M001185,Sean Patrick Maloney,8,8,8,0,0,
G000577,Garret Graves,6,6,6,0,0,
G000551,Raúl M. Grijalva,2,2,2,0,0,
M001200,Aston Donald McEachin,6,6,6,0,0,
M001212,Felix Barry Moore,0,1,0,0,1,CARDONA
D000626,Warren Davidson,3,3,3,0,0,
P000034,Frank Pallone,4,4,4,0,0,
R000603,David Cheston Rouzer,4,4,4,0,0,
G000588,Anthony E. Gonzalez,4,4,4,0,0,
L000591,Elaine Luria,4,4,4,0,0,
P000523,David E. Price,1,1,1,0,0,
S001214,Greg Steube,1,1,1,0,0,
B001286,Cheri Bustos,3,3,3,0,0,
H001038,Brian Higgins,3,3,3,0,0,
S001207,Mikie Sherrill,1,1,1,0,0,
G000591,Michael Patrick Guest,2,2,2,0,0,
H001072,James French Hill,2,2,2,0,0,
S000185,"Robert C. ""Bobby"" Scott",2,2,2,0,0,
B000740,Stephanie Bice,1,1,1,0,0,
B001275,Larry Bucshon,1,1,1,0,0,
B001297,Kenneth R. Buck,1,1,1,0,0,
C001068,Steve Cohen,1,1,1,0,0,
C001104,David Madison Cawthorn,1,1,1,0,0,
G000579,Michael John Gallagher,1,1,1,0,0,
M001156,Patrick T. McHenry,1,1,1,0,0,
M001210,Greg Francis Murphy,1,1,1,0,0,
N000189,Dan Newhouse,1,1,1,0,0,
